Dataset,MajorityClass,Grassland,Cropland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Shrubland,3,2,1,2,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Grassland,0,13,1,10,10,2,14,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Cropland,54,0,0,29,19,12,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Wetland,12,3,0,3,0,6,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Bareland,62,6,0,0,10,29,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Built-up,12,4,0,9,0,3,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Water,101,22,0,79,2,0,119,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Forest,83,28,1,54,25,35,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTT_M_R,Permanent_ice_and_snow,10,0,0,4,1,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Grassland,0,0,0,0,0,16,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Cropland,0,0,0,0,0,15,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Wetland,0,0,0,0,0,17,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Bareland,0,0,0,0,0,65,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Water,0,0,0,0,0,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Forest,0,0,0,0,0,82,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTT_M_R,Built-up,0,0,0,0,0,6,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Water,23,60,0,40,15,0,81,41,0,71,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Cropland,25,0,0,20,6,5,38,4,0,44,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Wetland,0,1,0,0,0,0,5,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Bareland,19,52,0,0,16,8,42,14,0,56,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Built-up,10,10,0,7,0,0,13,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Forest,34,64,0,44,22,13,0,21,0,75,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Grassland,0,11,0,7,2,1,28,2,0,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTT_M_R,Permanent_ice_and_snow,6,5,0,0,0,0,8,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Grassland,0,17,0,11,13,10,23,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Wetland,0,5,0,4,5,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Built-up,0,1,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Water,0,35,0,56,28,0,25,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Forest,0,37,0,39,34,48,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Cropland,0,0,0,10,21,15,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Bareland,0,17,0,0,17,42,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTT_M_R,Permanent_ice_and_snow,0,4,0,0,6,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Bareland,0,0,0,0,0,8,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Water,0,0,0,0,0,0,0,41,0,0,12,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Forest,0,0,0,0,0,13,0,21,0,0,12,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Grassland,0,0,0,0,0,1,0,2,0,0,7,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTT_M_R,Cropland,0,0,0,0,0,5,0,4,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,Cropland,5,0,0,3,0,8,6,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,Wetland,3,1,0,4,0,4,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,Bareland,2,10,0,0,0,13,16,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,Water,10,23,0,50,0,0,64,3,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTT_M_R,Forest,20,22,0,21,0,27,0,5,0,0,0,13
