Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Shrubland,297,103,194,89,64,86,48,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Non_Wetland,9,3,8,1,2,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Grassland,0,177,172,67,31,56,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Bareland,168,42,52,0,55,7,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Water,690,224,687,293,0,194,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Forest,1034,382,0,271,393,193,66,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Cropland,548,0,336,146,41,40,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Wetland,445,142,432,29,242,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Built-up,108,40,95,52,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Non_Water,3,2,2,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMB_M_R,Permanent_ice_and_snow,17,0,1,17,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Non_Wetland,6,0,4,0,3,18,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Shrubland,121,0,51,43,61,60,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Grassland,0,0,154,21,81,90,12,235,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Cropland,737,0,309,102,115,79,51,476,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Wetland,229,0,327,2,428,0,0,503,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Bareland,202,0,54,0,180,31,12,81,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Built-up,113,0,27,36,29,19,0,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Water,385,0,340,23,0,99,41,675,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Forest,709,0,0,136,720,438,51,1243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Non_Water,0,0,0,0,6,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMB_M_R,Permanent_ice_and_snow,12,0,0,0,1,13,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Non_Wetland,3,0,4,2,0,18,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMB_M_R,Grassland,0,80,93,59,76,105,6,259,0,0,0,0
