Dataset,MajorityClass,Forest,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Shrubland,31,38,12,31,6,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Grassland,352,0,197,423,51,85,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Non_Wetland,6,7,3,19,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Bareland,84,506,39,197,0,59,63,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Built-up,280,471,102,264,147,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Water,682,831,192,1051,268,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Forest,0,833,119,585,61,97,157,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Cropland,278,648,0,422,77,104,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Wetland,491,1011,273,0,70,55,291,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KRR_M_R,Permanent_ice_and_snow,10,83,0,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRR_M_R,Non_Wetland,3,4,0,12,2,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRR_M_R,Shrubland,5,24,0,17,13,13,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRR_M_R,Grassland,83,0,0,373,106,130,166,0,0,0,0,0
