Dataset,MajorityClass,Bareland,Forest,Wetland,Built-up,Cropland,Water,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Grassland,72,446,153,117,41,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Non_Wetland,0,5,2,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Forest,63,0,239,166,6,120,764,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Cropland,9,151,1,33,0,0,140,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Wetland,34,446,0,33,0,150,684,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Bareland,0,214,39,68,3,21,371,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Built-up,79,219,11,0,6,20,290,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Water,86,449,417,4,0,0,440,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Shrubland,3,17,2,4,0,1,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Non_Wetland,2,1,5,0,0,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Grassland,192,197,235,116,0,58,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Cropland,30,52,27,25,0,1,134,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Wetland,373,223,0,14,0,256,498,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Bareland,0,75,40,39,0,34,189,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Built-up,150,66,57,0,0,18,195,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Water,306,194,374,32,0,0,465,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Forest,406,0,658,146,0,204,851,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Shrubland,5,4,6,5,0,1,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHD_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHD_M_R,Wetland,0,0,0,0,0,58,0,0,625,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHD_M_R,Grassland,0,0,149,0,0,28,0,0,764,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHD_M_R,Forest,0,0,381,0,0,139,0,0,1279,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHD_M_R,Bareland,0,0,48,0,0,3,0,0,162,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHD_M_R,Shrubland,0,0,0,0,0,0,0,0,17,0,0,0
