Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Non_Wetland,4,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Grassland,57,0,13,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Forest,373,66,216,34,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Water,404,16,0,4,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Shrubland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Wetland,0,61,234,7,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Bareland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMV_M_R,Built-up,5,3,13,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Non_Wetland,0,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Grassland,1,0,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Wetland,0,333,81,1,195,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Water,150,320,0,7,253,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Shrubland,0,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Bareland,0,2,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Built-up,0,18,0,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMV_M_R,Forest,18,159,56,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Grassland,10,0,3,0,0,0,72,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Wetland,0,0,40,0,0,0,244,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Forest,95,0,39,0,0,0,518,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Water,196,0,0,0,0,0,389,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMV_M_R,Built-up,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Non_Wetland,1,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Grassland,30,0,23,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Forest,281,128,155,39,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Water,348,58,0,4,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Shrubland,0,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Wetland,0,82,279,2,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMV_M_R,Built-up,1,8,10,21,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Grassland,10,0,3,7,17,3,0,11,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Wetland,0,41,40,63,40,28,0,18,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Water,196,105,0,133,122,42,0,41,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Built-up,0,0,0,0,2,0,0,7,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMV_M_R,Forest,95,79,39,97,0,41,0,68,38,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,Wetland,0,0,323,0,0,0,0,0,0,0,155,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,Grassland,0,0,21,0,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,Water,0,0,0,0,0,0,0,0,0,0,167,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMV_M_R,Forest,0,0,162,0,0,0,0,0,0,0,46,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,Grassland,16,0,3,0,16,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,Water,231,0,0,11,149,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,Wetland,0,0,92,2,143,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,Forest,100,0,123,0,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMV_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,Wetland,0,77,127,3,436,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,Water,34,42,0,12,442,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,Forest,0,5,1,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,Grassland,0,0,2,0,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMV_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,0,1
