Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Shrubland,17,15,86,1,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Non_Wetland,1,0,14,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Grassland,0,85,344,23,15,5,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Bareland,76,19,49,9,0,7,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Cropland,105,83,176,0,43,21,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Built-up,80,89,107,5,32,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Wetland,102,129,0,22,27,0,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Water,200,226,459,22,101,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Forest,161,0,611,31,49,35,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KUS_M_R,Permanent_ice_and_snow,15,0,9,0,7,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Non_Wetland,4,1,1,0,0,1,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Grassland,0,7,57,0,15,26,43,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Shrubland,15,1,1,0,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Wetland,212,49,0,0,1,0,160,170,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Cropland,102,3,15,0,14,32,25,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Bareland,21,0,5,0,0,1,3,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Built-up,101,2,29,0,29,0,24,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Water,187,28,195,0,12,14,0,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Forest,395,0,185,0,29,40,107,351,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUS_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Shrubland,0,0,0,0,0,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Grassland,0,0,36,0,0,0,15,0,373,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Wetland,0,0,0,0,0,0,26,0,385,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Cropland,0,0,4,0,0,0,14,0,196,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Built-up,0,0,1,0,0,0,13,0,134,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Bareland,0,0,16,0,0,0,12,0,58,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Forest,0,0,177,0,0,0,61,0,745,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Water,0,0,237,0,0,0,0,0,256,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Non_Wetland,5,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Shrubland,28,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Grassland,0,0,17,0,0,3,0,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Wetland,322,8,0,0,0,0,89,107,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Forest,382,0,44,0,0,13,43,196,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Cropland,89,0,0,0,0,8,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Bareland,16,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Built-up,104,0,2,0,0,0,1,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUS_M_R,Water,195,3,15,0,0,14,0,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUS_M_R,Grassland,0,168,36,194,19,39,15,123,0,5,0,0
