Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Bareland,Forest,Cropland,Shrubland,Built-up,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Wetland,231,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Shrubland,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Grassland,97,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Water,123,0,133,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Forest,209,11,68,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Cropland,45,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEJ_M_R,Bareland,31,0,16,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Wetland,0,26,0,110,61,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Shrubland,0,0,2,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Water,0,0,116,26,47,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Grassland,0,0,29,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Forest,0,2,116,52,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Cropland,0,0,18,18,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEJ_M_R,Bareland,0,0,9,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Shrubland,0,4,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Grassland,0,8,93,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Wetland,0,138,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Bareland,0,39,26,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Forest,0,76,183,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Cropland,0,36,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEJ_M_R,Water,0,0,129,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Shrubland,0,0,2,4,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Wetland,0,26,0,129,18,83,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Water,0,0,132,64,71,73,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Grassland,0,0,16,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Forest,0,4,49,68,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Cropland,0,0,29,16,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEJ_M_R,Bareland,0,0,4,18,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Grassland,0,0,4,0,0,17,0,39,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Wetland,0,6,0,14,0,51,0,139,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Bareland,0,2,16,0,0,3,0,33,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Water,0,0,161,3,3,56,0,71,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Cropland,0,0,0,0,0,4,0,30,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEJ_M_R,Forest,0,14,78,14,0,0,0,72,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Bareland,0,22,0,0,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Wetland,0,87,0,0,0,0,0,0,0,69,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Water,0,0,0,0,0,0,0,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Grassland,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Cropland,0,15,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEJ_M_R,Forest,0,33,0,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,Grassland,0,0,0,0,0,24,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,Wetland,0,115,0,0,2,153,66,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,Water,0,0,0,0,1,31,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,Bareland,0,29,0,0,0,7,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEJ_M_R,Forest,0,20,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,Wetland,0,98,0,67,30,204,53,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,Water,0,0,11,1,31,65,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,Forest,0,32,0,15,0,0,18,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,Grassland,0,10,1,0,2,12,3,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEJ_M_R,Bareland,0,0,2,0,0,1,0,0,0,0,0
