Dataset,MajorityClass,Forest,Built-up,Wetland,Bareland,Cropland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Grassland,309,33,55,10,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Non_Wetland,10,0,1,0,0,1,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Cropland,62,15,0,7,0,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Wetland,900,11,0,40,0,229,1706,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Bareland,266,31,95,0,0,111,685,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Built-up,165,0,44,57,0,27,336,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Water,666,6,669,110,0,0,1344,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Forest,0,77,34,36,0,22,759,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Shrubland,37,7,1,2,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWT_M_R,Permanent_ice_and_snow,20,1,2,3,0,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Non_Wetland,1,1,11,4,0,3,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Grassland,80,62,498,271,0,194,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Cropland,29,14,49,23,0,5,53,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Wetland,61,53,0,352,0,856,428,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Bareland,64,42,161,0,0,270,203,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Built-up,30,0,105,138,0,56,88,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Water,121,83,804,332,0,0,393,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Forest,0,97,657,409,0,370,545,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Shrubland,4,6,15,14,0,10,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWT_M_R,Permanent_ice_and_snow,7,0,26,8,0,21,11,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Grassland,0,0,98,0,0,25,0,0,1025,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Wetland,0,0,0,0,0,139,0,0,1364,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Forest,0,0,251,0,0,88,0,0,1326,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Bareland,0,0,142,0,0,44,0,0,456,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Water,0,0,636,0,0,0,0,0,1098,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Shrubland,0,0,0,0,0,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Built-up,0,0,51,0,0,12,0,0,261,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Cropland,0,0,3,0,0,0,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWT_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,51,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWT_M_R,Wetland,35,19,0,585,13,671,387,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWT_M_R,Non_Wetland,0,0,14,5,1,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWT_M_R,Forest,0,83,826,671,5,140,598,0,0,0,0,0
