Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Shrubland,219,78,158,22,53,36,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Grassland,0,27,140,41,22,12,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Non_Wetland,6,0,4,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Bareland,161,0,72,13,4,27,44,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Forest,477,115,0,50,85,26,209,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Cropland,199,38,152,0,10,21,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Wetland,105,8,62,6,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Built-up,136,40,110,15,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Water,439,211,584,4,171,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Non_Water,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHL_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Non_Wetland,2,1,0,0,11,0,2,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Shrubland,73,53,30,0,40,6,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Grassland,0,57,81,0,34,8,11,172,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Cropland,215,52,63,0,9,10,29,146,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Wetland,18,8,18,0,0,0,97,97,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Bareland,63,0,37,0,4,15,165,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Built-up,66,52,17,0,1,0,11,109,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Water,186,80,240,0,86,14,0,593,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Forest,335,239,0,0,237,42,370,856,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Non_Water,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHL_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Non_Wetland,1,4,2,0,5,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Grassland,0,70,41,17,22,7,10,172,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Wetland,27,53,9,0,0,1,10,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Forest,405,618,0,33,323,48,121,789,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHL_M_R,Bareland,38,0,2,2,0,13,1,25,0,0,0
