Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Shrubland,80,32,68,10,3,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Grassland,0,164,238,49,87,76,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Non_Wetland,15,4,12,2,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Bareland,97,19,34,14,28,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Built-up,76,29,53,0,7,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Water,356,50,301,69,0,177,122,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Forest,406,130,0,91,130,79,74,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Cropland,275,0,183,84,63,12,103,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Wetland,334,30,251,26,207,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Non_Water,3,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBA_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Non_Wetland,5,0,2,0,6,24,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Shrubland,35,0,21,8,10,35,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Grassland,0,0,95,38,79,290,61,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Cropland,195,0,114,72,71,159,119,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Wetland,116,0,32,4,211,0,24,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Bareland,13,0,20,13,69,46,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Built-up,28,0,14,0,32,20,45,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Forest,237,0,0,59,225,402,118,135,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Non_Water,1,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Water,140,0,94,46,0,386,60,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Wetland,0,0,0,0,30,0,0,0,764,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Grassland,0,0,0,0,35,54,0,0,607,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Forest,0,0,0,0,39,78,0,0,800,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Bareland,0,0,0,0,11,20,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Water,0,0,0,0,0,146,0,0,524,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBA_M_R,Shrubland,0,0,0,0,0,0,0,0,82,0,0,0
