Dataset,MajorityClass,Bareland,Water,Grassland,Wetland,Built-up,Forest,Shrubland,Lichens_and_Mosses,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,Grassland,7,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,Forest,39,162,115,89,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,Bareland,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,Water,31,0,57,68,5,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZU_M_R,Wetland,0,7,10,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R,Grassland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R,Water,6,0,26,0,0,184,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R,Bareland,0,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R,Forest,0,123,47,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZU_M_R,Wetland,1,17,5,0,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,Forest,84,55,61,97,14,0,40,12,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,Grassland,0,0,0,0,0,3,1,2,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,Water,76,0,38,99,8,82,27,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZU_M_R,Bareland,0,0,2,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,Forest,0,187,40,225,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,Grassland,0,1,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,Bareland,0,0,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,Water,0,0,7,174,0,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZU_M_R,Wetland,0,4,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,Forest,2,192,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,Grassland,3,2,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,Water,4,0,0,0,0,92,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZU_M_R,Wetland,0,26,0,0,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,Forest,0,55,0,97,0,0,0,0,0,231,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,Water,0,0,0,99,0,0,0,0,0,111,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,Grassland,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZU_M_R,Bareland,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,Water,38,0,0,0,0,300,0,0,7,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,Forest,3,7,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,Grassland,9,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZU_M_R,Wetland,0,6,0,0,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,Water,0,0,0,0,0,0,0,0,0,0,156
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,Wetland,0,7,0,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,Forest,0,132,0,0,0,0,0,0,0,0,138
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZU_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
