Dataset,MajorityClass,Shrubland,Grassland,Forest,Cropland,Built-up,Bareland,Wetland,Lichens_and_Mosses,Water,Non_Wetland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Built-up,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Forest,4,5,0,3,3,2,1,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Grassland,3,0,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Cropland,1,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Bareland,3,0,2,0,0,0,1,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVE_M_R,Water,2,1,2,1,1,2,1,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Wetland,0,0,6,0,0,3,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Grassland,0,0,4,0,2,1,1,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Water,0,0,6,0,1,3,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Cropland,0,0,1,0,1,1,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Bareland,0,0,2,0,1,0,1,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVE_M_R,Forest,0,0,0,1,3,1,1,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVE_M_R,Wetland,0,3,3,3,0,3,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVE_M_R,Water,0,3,2,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVE_M_R,Forest,0,1,0,1,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,Grassland,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,Wetland,0,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,Bareland,0,0,0,0,0,0,1,0,1,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,Water,0,0,0,0,0,0,1,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVE_M_R,Forest,0,0,0,0,0,0,1,0,1,1
