Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Grassland,223,35,45,55,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Bareland,41,3,0,12,30,158,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Shrubland,32,3,10,16,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Wetland,576,0,59,38,187,851,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Built-up,73,4,33,0,2,168,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Water,565,146,156,8,0,650,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Forest,0,23,26,65,91,552,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Cropland,27,0,3,9,0,59,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQG_M_R,Permanent_ice_and_snow,0,0,2,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Grassland,146,402,87,47,76,0,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Bareland,36,125,0,17,59,86,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Forest,0,611,116,59,194,448,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Shrubland,16,27,8,4,9,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Wetland,144,0,10,2,335,200,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Built-up,15,53,53,0,11,51,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Water,146,718,21,19,0,239,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Cropland,16,34,9,6,5,30,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQG_M_R,Permanent_ice_and_snow,2,6,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Forest,0,444,254,27,163,568,10,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Grassland,63,247,198,32,89,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Shrubland,4,31,32,3,9,37,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Wetland,91,0,74,1,386,367,4,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Bareland,0,21,0,8,51,66,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Built-up,3,35,90,0,4,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Water,54,552,111,5,0,318,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Cropland,1,21,41,0,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQG_M_R,Permanent_ice_and_snow,0,0,7,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Grassland,281,60,1,100,23,0,468,61,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQG_M_R,Forest,0,193,1,73,68,248,484,44,0,0,0
