Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Shrubland,3,1,1,3,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Grassland,0,2,5,12,7,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Cropland,71,0,14,35,37,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Wetland,112,5,15,68,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Bareland,46,1,0,27,42,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Built-up,17,1,11,14,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Water,136,5,53,99,0,44,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVT_M_R,Forest,103,17,51,0,61,20,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Grassland,0,0,0,0,27,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Cropland,0,0,0,0,40,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Wetland,0,0,0,0,110,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Bareland,0,0,0,0,55,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Built-up,0,0,0,0,14,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Water,0,0,0,0,0,0,0,154,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVT_M_R,Forest,0,0,0,0,97,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Wetland,0,0,0,0,4,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Water,0,0,0,0,0,71,0,0,38,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Forest,0,0,0,0,15,44,0,0,66,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Bareland,0,0,0,0,7,18,0,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Built-up,0,0,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Grassland,0,0,0,0,3,12,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVT_M_R,Cropland,0,0,0,0,2,11,0,0,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Water,30,73,56,79,0,71,15,0,0,48,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Cropland,11,0,14,37,2,11,4,0,0,30,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Wetland,1,8,6,16,4,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Bareland,14,33,0,27,7,18,14,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Built-up,8,10,5,12,1,2,0,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Forest,31,62,39,0,15,44,19,0,0,57,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVT_M_R,Grassland,0,18,5,23,3,12,0,0,0,17,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Grassland,0,16,2,23,18,10,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Wetland,0,26,23,41,44,0,24,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Water,0,20,51,57,0,53,38,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Forest,0,29,16,0,54,42,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Bareland,0,1,0,21,29,3,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVT_M_R,Cropland,0,0,1,20,11,15,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Water,40,51,54,83,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Wetland,34,40,26,54,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Bareland,1,8,0,14,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Forest,18,24,16,0,19,9,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Cropland,1,0,0,11,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Grassland,0,6,5,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVT_M_R,Built-up,0,2,0,1,1,0,0,0,0,0,0
