Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LNN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
