Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Grassland,308,71,31,57,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Non_Wetland,9,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Bareland,317,11,0,47,74,10,471,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Shrubland,44,0,0,7,1,2,49,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Cropland,177,0,27,33,1,0,279,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Wetland,321,0,24,6,93,0,227,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Built-up,83,12,35,0,0,0,162,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Water,567,0,139,19,0,81,489,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Forest,0,24,39,59,141,30,573,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Lichens_and_Mosses,1,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVK_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVK_M_R,Non_Wetland,1,0,2,0,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVK_M_R,Shrubland,10,0,21,2,9,20,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVK_M_R,Grassland,92,0,188,21,47,133,0,19,0,0,0,0
