Dataset,MajorityClass,Grassland,Bareland,Forest,Built-up,Water,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Shrubland,318,91,214,77,103,135,32,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Non_Wetland,7,0,7,0,4,17,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Grassland,0,72,257,58,86,141,105,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Bareland,212,0,123,57,35,9,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Water,970,212,766,34,0,659,25,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Forest,901,120,0,116,392,376,114,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Cropland,498,144,313,113,31,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Wetland,252,6,157,0,125,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Built-up,235,79,183,0,16,2,52,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Non_Water,1,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGL_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Non_Wetland,7,1,3,0,4,9,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Shrubland,119,55,42,11,64,67,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Grassland,0,59,169,27,84,128,0,307,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Cropland,526,170,157,39,46,34,0,391,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Wetland,109,2,90,0,312,0,0,283,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Bareland,143,0,14,21,75,6,0,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Built-up,136,114,26,0,20,1,0,146,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Water,610,154,430,38,0,188,0,938,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Forest,724,251,0,62,440,436,0,1247,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Non_Water,0,0,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGL_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Wetland,0,0,0,0,98,0,0,0,833,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Shrubland,0,0,0,0,0,0,0,0,268,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Grassland,0,0,0,0,66,45,0,0,336,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Forest,0,0,0,0,248,203,0,0,1158,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Water,0,0,0,0,0,347,0,0,659,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Built-up,0,0,0,0,25,6,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Cropland,0,0,0,0,33,1,0,0,78,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGL_M_R,Bareland,0,0,0,0,65,26,0,0,12,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Non_Wetland,4,8,0,1,1,15,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Grassland,0,179,58,27,44,66,84,297,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Wetland,82,323,13,1,66,0,0,286,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Bareland,120,0,1,25,1,1,64,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Water,343,1040,220,27,0,598,8,937,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Forest,765,828,0,71,255,542,136,1158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Non_Water,1,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Shrubland,116,111,24,30,27,50,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Built-up,164,176,15,0,2,2,22,113,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Cropland,447,315,45,81,9,16,0,231,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Shrubland,0,0,0,0,130,0,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Grassland,0,0,0,0,234,0,0,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Wetland,0,0,0,0,252,0,0,0,0,137,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Water,0,0,0,0,0,0,0,0,0,610,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGL_M_R,Forest,0,0,0,0,595,0,0,0,0,268,0
