Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Grassland,116,18,31,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Non_Wetland,5,1,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Wetland,327,1,1,161,469,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Bareland,8,0,12,4,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Water,475,22,0,0,540,1,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Shrubland,6,0,3,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Cropland,21,1,4,1,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Built-up,20,5,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MNT_M_R,Forest,0,11,34,187,406,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Non_Wetland,1,1,0,2,2,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Grassland,69,42,0,49,0,0,213,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Bareland,3,0,0,12,14,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Water,96,43,0,0,79,0,579,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Forest,0,134,0,357,262,0,635,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Shrubland,3,0,0,2,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Cropland,3,5,0,1,16,0,9,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Wetland,31,16,0,258,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNT_M_R,Built-up,3,17,0,5,13,0,18,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Non_Wetland,0,0,0,1,4,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNT_M_R,Wetland,22,3,0,200,188,0,0,0,0,0,0,0
