Dataset,MajorityClass,Forest,Grassland,Water,Built-up,Wetland,Bareland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Grassland,7,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Non_Wetland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Wetland,60,38,22,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Bareland,7,10,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Built-up,10,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Water,127,21,0,0,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFN_M_R,Forest,0,49,52,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Forest,0,144,95,0,122,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Grassland,0,0,0,0,7,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Wetland,2,22,15,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Bareland,0,1,4,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Built-up,0,4,6,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFN_M_R,Water,12,48,0,0,22,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Non_Wetland,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Forest,0,47,81,0,230,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Grassland,2,0,0,0,10,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Wetland,16,2,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Bareland,0,4,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Built-up,0,10,1,0,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFN_M_R,Water,37,0,0,0,146,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Wetland,0,0,0,0,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Forest,0,0,29,0,101,0,282,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Grassland,0,0,0,0,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Bareland,0,0,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFN_M_R,Water,0,0,0,0,90,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Wetland,6,4,0,0,0,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Forest,0,60,29,11,101,65,0,17,32,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Grassland,6,0,0,3,0,1,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Bareland,1,2,0,6,1,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Built-up,4,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFN_M_R,Water,55,29,0,0,90,35,0,10,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,Grassland,1,0,1,10,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,Bareland,0,0,1,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,Wetland,25,0,46,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,Forest,0,0,135,33,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFN_M_R,Water,25,0,0,2,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,Water,0,0,0,0,0,0,0,0,0,0,78,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,Wetland,0,0,13,0,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFN_M_R,Forest,0,0,71,0,0,0,0,0,0,0,46,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Wetland,91,0,12,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Forest,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Water,191,0,0,0,0,7,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Grassland,13,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFN_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,2
