Dataset,MajorityClass,Wetland,Bareland,Forest,Grassland,Shrubland,Water,Built-up,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Non_Wetland,8,4,2,4,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Grassland,263,245,259,0,85,45,46,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Cropland,16,33,30,14,5,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Wetland,0,1074,795,707,288,838,65,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Bareland,312,0,219,224,40,262,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Built-up,39,149,65,71,12,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Water,538,605,454,184,25,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Forest,673,585,0,519,109,283,136,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Shrubland,7,6,12,5,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,Permanent_ice_and_snow,2,0,3,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Non_Wetland,7,0,4,9,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Grassland,155,25,205,0,0,1,32,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Cropland,8,2,24,63,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Wetland,0,387,552,1537,0,312,87,231,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Bareland,379,0,261,698,0,230,121,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Built-up,39,49,156,250,0,2,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Water,877,348,392,566,0,0,35,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Forest,652,95,0,1048,0,98,109,45,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Shrubland,17,3,5,49,0,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R,Permanent_ice_and_snow,0,0,0,7,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Grassland,116,0,0,0,0,8,0,0,785,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Wetland,0,0,0,0,0,87,0,0,1351,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Forest,600,0,0,0,0,88,0,0,1581,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Bareland,396,0,0,0,0,70,0,0,867,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Shrubland,0,0,0,0,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Built-up,64,0,0,0,0,3,0,0,125,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Cropland,9,0,0,0,0,0,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Water,818,0,0,0,0,0,0,0,703,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Non_Wetland,7,7,0,3,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Wetland,0,1370,525,724,4,578,31,303,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Bareland,62,0,11,62,0,124,18,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Forest,614,816,0,733,2,140,193,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Grassland,258,362,112,0,2,32,84,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Built-up,47,232,11,37,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Shrubland,15,35,0,20,0,0,4,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Cropland,26,39,3,19,0,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Water,424,997,268,133,0,0,16,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,Permanent_ice_and_snow,1,5,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Grassland,0,0,0,0,0,60,0,0,0,47,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Bareland,0,0,0,0,0,552,0,0,0,234,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Shrubland,0,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Wetland,0,0,0,0,0,971,0,0,0,773,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Built-up,0,0,0,0,0,39,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Forest,0,0,0,0,0,269,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,Water,0,0,0,0,0,0,0,0,0,411,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Grassland,124,97,174,0,199,8,65,63,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Wetland,0,184,211,268,268,119,102,49,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Bareland,503,0,178,311,343,109,290,108,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Forest,666,312,0,725,378,117,177,75,0,0,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Built-up,64,21,54,125,87,3,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Water,1003,260,223,231,235,0,137,43,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Cropland,9,0,15,22,20,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,Permanent_ice_and_snow,0,0,2,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Grassland,148,11,299,0,0,83,171,156,0,0,0,4
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Forest,204,22,0,0,0,267,267,227,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Bareland,255,0,207,0,0,502,167,51,0,0,0,25
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Wetland,0,95,1162,0,0,851,258,273,0,0,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Shrubland,5,0,2,0,0,1,1,3,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Built-up,4,17,32,0,0,2,0,4,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Water,276,204,314,0,0,0,55,23,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Cropland,1,1,5,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Wetland,0,356,1198,330,0,1185,0,332,0,0,0,144
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Forest,84,81,0,132,0,543,0,190,0,0,0,129
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Bareland,151,0,197,10,0,377,0,56,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Shrubland,4,0,10,1,0,10,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Water,204,235,367,28,0,0,0,24,0,0,0,34
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Built-up,12,14,127,2,0,139,0,35,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Grassland,110,57,345,0,0,304,0,129,0,0,0,55
AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,Cropland,0,0,2,0,0,0,0,0,0,0,0,0
