Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Grassland,215,29,45,42,10,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Non_Wetland,4,4,3,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Cropland,87,0,4,16,0,0,112,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Wetland,91,0,14,0,28,0,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Bareland,43,4,0,12,13,4,164,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Built-up,42,0,10,0,2,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Water,413,105,67,2,0,0,494,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Non_Water,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Shrubland,13,2,7,2,2,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Forest,0,25,7,27,169,2,500,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNR_M_R,Permanent_ice_and_snow,2,0,12,0,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Non_Wetland,4,5,0,0,5,0,5,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Grassland,105,101,92,12,108,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Cropland,20,4,32,3,3,0,140,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Bareland,39,57,0,0,67,0,107,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Built-up,19,8,37,0,10,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNR_M_R,Water,165,253,89,0,0,0,283,0,0,0,0,0
