Dataset,MajorityClass,Wetland,Shrubland,Grassland,Forest,Bareland,Built-up,Water,Non_Water,Non_Wetland,Cropland
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NGF_M_R,Water,56,20,2,2,3,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NGF_M_R,Grassland,0,3,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NGF_M_R,Cropland,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NGF_M_R,Wetland,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NGF_M_R,Bareland,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Water,33,0,35,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Grassland,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Cropland,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Wetland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Bareland,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NGF_M_R,Forest,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NGF_M_R,Water,0,0,57,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NGF_M_R,Cropland,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NGF_M_R,Wetland,0,0,13,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NGF_M_R,Bareland,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NGF_M_R,Forest,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NGF_M_R,Grassland,0,0,0,0,0,0,7,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NGF_M_R,Wetland,0,0,0,0,0,0,15,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NGF_M_R,Water,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NGF_M_R,Bareland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NGF_M_R,Forest,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NGF_M_R,Grassland,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NGF_M_R,Cropland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NGF_M_R,Wetland,0,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NGF_M_R,Bareland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NGF_M_R,Forest,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Grassland,0,0,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Cropland,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Water,20,0,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Wetland,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Bareland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NGF_M_R,Forest,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NGF_M_R,Grassland,2,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NGF_M_R,Water,1,0,0,2,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NGF_M_R,Wetland,0,0,0,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NGF_M_R,Forest,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NGF_M_R,Water,2,0,0,16,51,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NGF_M_R,Grassland,0,0,0,4,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NGF_M_R,Wetland,0,0,0,2,6,0,1,0,0,4
