Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Grassland,424,171,63,68,31,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Non_Wetland,9,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Shrubland,104,27,15,44,2,1,164,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Cropland,318,0,82,91,4,5,396,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Wetland,284,2,3,0,0,135,208,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Bareland,220,61,0,65,12,57,357,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Built-up,125,53,39,0,0,8,182,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Water,656,2,72,9,76,0,388,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Forest,0,88,31,112,23,85,522,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYK_M_R,Permanent_ice_and_snow,9,2,4,0,0,1,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Non_Wetland,1,0,2,0,11,0,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Shrubland,23,0,36,3,23,9,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Grassland,106,0,212,32,183,39,0,198,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Cropland,120,0,180,32,59,4,456,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Bareland,25,0,0,34,30,10,188,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Built-up,22,0,92,0,22,2,130,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Water,48,0,381,30,354,0,491,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Forest,0,0,527,35,519,153,783,421,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Wetland,11,0,110,0,0,79,130,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYK_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,4,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Grassland,29,161,461,43,195,33,0,244,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Non_Wetland,0,0,3,0,9,0,4,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Forest,0,155,682,14,394,199,691,552,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Wetland,7,6,99,0,0,81,91,126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Bareland,0,50,0,16,16,2,72,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Water,22,9,525,23,336,0,221,102,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Shrubland,3,26,72,4,24,9,45,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Built-up,0,62,198,0,9,3,88,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Cropland,7,0,351,52,44,2,318,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYK_M_R,Permanent_ice_and_snow,0,3,28,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Grassland,0,0,0,0,61,41,0,0,393,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Wetland,0,0,0,0,0,50,0,0,299,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Forest,0,0,0,0,197,111,0,0,876,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Water,0,0,0,0,275,0,0,0,370,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Shrubland,0,0,0,0,0,0,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Bareland,0,0,0,0,14,35,0,0,77,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Cropland,0,0,0,0,2,6,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYK_M_R,Built-up,0,0,0,0,1,14,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Bareland,0,0,0,0,0,69,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Grassland,0,0,0,0,0,82,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Shrubland,0,0,0,0,0,6,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Cropland,0,0,0,0,0,5,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Wetland,0,0,0,0,0,108,0,0,0,102,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Water,0,0,0,0,0,0,0,0,0,279,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Forest,0,0,0,0,0,196,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Built-up,0,0,0,0,0,8,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYK_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Grassland,239,250,48,132,61,41,0,444,0,0,55,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Wetland,99,3,18,0,0,50,13,79,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Bareland,57,188,0,144,14,35,80,242,0,0,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Forest,0,227,199,153,197,111,330,521,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Cropland,112,0,5,136,2,6,139,264,0,0,46,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Built-up,8,66,0,0,1,14,46,123,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Water,220,94,179,30,275,0,84,259,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Shrubland,8,8,9,7,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYK_M_R,Permanent_ice_and_snow,0,12,0,12,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Shrubland,36,49,0,49,11,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Grassland,196,646,24,170,75,117,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Forest,0,316,2,203,159,433,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Bareland,74,197,0,135,12,139,0,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Wetland,23,65,1,14,0,110,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Built-up,7,25,7,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Water,31,109,3,29,120,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Cropland,55,0,14,59,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYK_M_R,Permanent_ice_and_snow,2,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Forest,0,103,62,0,8,36,71,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Shrubland,85,31,27,0,0,4,31,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Cropland,111,0,136,0,0,14,88,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Wetland,326,2,1,0,0,121,179,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Bareland,87,30,0,0,11,52,30,0,0,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Water,375,4,31,0,42,0,39,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Built-up,64,55,75,0,0,16,5,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYK_M_R,Grassland,285,147,152,0,4,123,0,0,0,0,0,9
