Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Grassland,64,18,5,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Wetland,266,0,40,18,238,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Non_Wetland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Bareland,147,7,0,8,144,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Shrubland,16,2,6,4,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Built-up,66,4,12,0,92,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Water,392,115,76,7,186,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Forest,0,25,18,26,298,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Cropland,7,0,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDH_M_R,Permanent_ice_and_snow,5,0,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Grassland,0,10,0,0,0,0,263,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Wetland,0,0,0,0,0,8,342,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Bareland,0,58,0,0,0,35,98,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Shrubland,0,0,0,0,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Forest,0,174,0,0,0,56,686,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Water,0,265,0,0,0,0,278,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Built-up,0,14,0,0,0,2,91,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Cropland,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Grassland,34,166,58,3,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Non_Wetland,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Bareland,11,50,0,0,21,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Water,59,366,229,5,16,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Shrubland,5,20,6,4,6,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Wetland,21,0,59,2,38,123,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Built-up,3,52,63,0,16,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Forest,0,486,348,14,182,96,0,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Cropland,1,15,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDH_M_R,Permanent_ice_and_snow,1,5,4,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Grassland,4,128,75,3,0,1,0,0,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Non_Wetland,0,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Bareland,1,11,0,12,7,2,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Water,61,163,344,60,61,0,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Shrubland,0,13,12,6,9,2,0,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Wetland,14,0,159,8,122,50,0,0,6,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Forest,0,332,416,38,230,83,0,0,21,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Built-up,1,47,42,0,7,0,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Cropland,0,7,7,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDH_M_R,Permanent_ice_and_snow,0,4,3,0,1,0,0,0,0,0,0
