Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Built-up,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Shrubland,36,38,4,6,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Grassland,222,0,8,39,17,29,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Cropland,140,237,6,10,8,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Wetland,0,169,0,0,0,102,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Bareland,100,55,0,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Forest,244,392,0,38,26,85,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Water,242,208,41,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Built-up,19,43,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Non_Wetland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Shrubland,9,64,54,14,1,5,0,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Grassland,55,0,93,24,8,10,0,54,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Cropland,35,279,26,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Wetland,0,557,201,22,0,59,0,9,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Bareland,39,174,13,0,3,4,0,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Built-up,0,128,39,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Water,229,426,461,84,5,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Forest,49,317,0,10,8,45,0,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NTE_M_R,Permanent_ice_and_snow,5,13,5,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTE_M_R,Grassland,193,0,18,155,24,47,23,193,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTE_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTE_M_R,Shrubland,28,28,3,20,3,14,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTE_M_R,Wetland,0,192,6,69,0,159,8,73,0,0,0
