Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Shrubland,3,3,3,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Grassland,0,6,2,2,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Cropland,11,0,3,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Wetland,50,0,11,10,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Bareland,37,0,0,8,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Built-up,12,0,11,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Water,96,38,60,0,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Forest,69,25,29,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R,Permanent_ice_and_snow,16,0,7,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Grassland,0,2,0,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Forest,0,21,0,9,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Wetland,0,0,0,2,0,62,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Bareland,0,4,0,6,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Water,0,36,0,0,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,Permanent_ice_and_snow,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Shrubland,0,0,0,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Grassland,0,0,0,13,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Wetland,0,0,0,32,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Bareland,0,0,0,23,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,Water,0,0,0,0,0,0,61,0,0,0,0
