Dataset,MajorityClass,Wetland,Water,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Non_Wetland,7,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Grassland,420,101,23,6,16,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Wetland,0,1115,22,2,63,0,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Water,913,0,26,9,78,2,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Shrubland,22,9,5,4,6,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Cropland,204,88,1,0,2,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Bareland,132,89,0,1,11,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Forest,750,239,45,20,0,36,100,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Built-up,79,6,56,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,Permanent_ice_and_snow,9,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Non_Wetland,4,0,1,0,1,0,5,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Wetland,0,401,115,20,593,0,911,156,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Water,830,0,196,5,361,0,485,54,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Shrubland,6,0,5,3,9,0,26,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Grassland,103,4,6,4,41,0,0,11,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Bareland,50,1,0,8,14,0,96,14,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Built-up,7,5,17,0,84,0,116,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Cropland,114,0,8,1,26,0,105,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Forest,204,88,20,4,0,0,291,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R,Permanent_ice_and_snow,0,0,0,1,2,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Grassland,12,7,0,0,0,0,0,0,573,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Wetland,0,200,0,0,0,0,0,0,2190,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Water,490,0,0,0,0,0,0,0,897,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Shrubland,0,0,0,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Cropland,2,3,0,0,0,0,0,0,289,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Bareland,20,2,0,0,0,0,0,0,187,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Forest,185,54,0,0,0,0,0,0,978,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Built-up,13,1,0,0,0,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,Non_Wetland,1,0,3,0,0,0,3,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,Wetland,0,523,456,18,170,0,600,367,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,Water,660,0,250,65,151,0,216,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,Shrubland,13,2,14,4,0,0,9,8,0,0,0
