Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Shrubland,348,109,82,164,68,91,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Non_Wetland,9,0,0,5,0,2,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Grassland,0,188,60,169,47,39,88,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Bareland,212,75,0,44,40,28,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Built-up,148,64,44,109,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Water,670,151,174,517,8,0,220,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Forest,813,270,72,0,42,205,201,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Cropland,512,0,111,243,87,76,55,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Wetland,250,58,4,46,5,76,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKE_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKE_M_R,Non_Wetland,4,0,3,2,0,0,10,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKE_M_R,Shrubland,113,0,50,36,13,48,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKE_M_R,Grassland,0,0,60,116,12,119,43,335,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKE_M_R,Cropland,630,0,147,231,17,68,14,509,0,0,0
