Dataset,MajorityClass,Forest,Cropland,Wetland,Built-up,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Grassland,336,44,46,57,46,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Non_Wetland,7,0,4,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Shrubland,42,1,1,3,3,1,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Cropland,65,0,1,32,8,1,124,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Wetland,414,0,0,0,67,95,445,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Bareland,244,8,3,19,0,88,293,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Built-up,96,0,0,0,39,3,154,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Water,723,0,68,6,180,0,475,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Forest,0,7,42,19,38,59,539,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Non_Wetland,4,0,9,0,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Shrubland,10,0,16,4,19,3,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Grassland,123,0,209,66,274,83,0,83,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Cropland,14,0,16,18,69,1,113,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Wetland,76,0,0,8,153,188,179,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Bareland,20,0,30,20,0,33,89,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Built-up,11,0,13,0,61,11,35,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Water,95,0,349,54,426,0,448,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Forest,0,0,468,95,534,257,632,137,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Grassland,62,3,126,50,473,46,0,130,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Non_Wetland,0,0,6,0,5,4,1,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Forest,0,3,262,22,690,200,578,241,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Wetland,22,0,0,1,430,146,231,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Bareland,7,1,9,10,0,7,37,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Water,94,1,150,36,758,0,270,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Shrubland,3,0,8,3,33,6,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Cropland,1,0,7,21,121,1,90,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,Built-up,3,0,2,0,99,1,53,4,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Grassland,0,0,140,0,0,50,0,0,418,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Wetland,0,0,0,0,0,13,0,0,188,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Forest,0,0,340,0,0,142,0,0,738,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Water,0,0,498,0,0,0,0,0,255,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Shrubland,0,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Bareland,0,0,99,0,0,40,0,0,203,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Cropland,0,0,0,0,0,1,0,0,24,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,Built-up,0,0,29,0,0,12,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Bareland,0,0,0,0,0,221,0,0,0,87,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Grassland,0,0,0,0,0,202,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Wetland,0,0,0,0,0,277,0,0,0,120,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Forest,0,0,0,0,0,319,0,0,0,96,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Cropland,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Built-up,0,0,0,0,0,36,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,Water,0,0,0,0,0,0,0,0,0,246,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Grassland,222,127,140,62,36,50,0,314,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Forest,0,80,340,80,66,142,358,343,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Bareland,142,112,99,93,0,40,133,231,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Wetland,73,2,0,6,6,13,19,32,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Water,260,40,498,32,69,0,126,215,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Built-up,15,41,29,0,3,12,61,76,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Shrubland,3,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,Cropland,28,0,0,10,0,1,35,51,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Grassland,130,394,74,105,2,140,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Forest,0,185,144,178,2,323,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Bareland,58,108,160,32,0,168,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Built-up,2,25,2,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Shrubland,2,9,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Wetland,60,60,0,38,9,197,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Water,42,56,100,37,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,Cropland,1,0,0,1,0,0,0,0,0,0,0
