Dataset,MajorityClass,Grassland,Forest,Bareland,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Built-up
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Shrubland,42,29,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Grassland,0,64,3,9,27,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Non_Wetland,4,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Cropland,30,25,4,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Wetland,48,46,2,0,0,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Bareland,21,11,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Water,58,190,20,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Forest,202,0,2,8,1,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LCR_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Shrubland,19,8,18,10,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Grassland,0,27,38,25,0,5,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Non_Wetland,3,2,2,4,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Cropland,66,3,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Bareland,5,2,0,1,0,8,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Water,39,35,5,146,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Forest,229,0,150,232,0,93,142,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Wetland,9,3,2,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCR_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Grassland,0,7,33,27,12,4,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Forest,232,0,121,173,21,117,149,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Non_Wetland,3,0,2,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Shrubland,14,3,16,12,4,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Water,82,41,53,64,19,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Cropland,55,0,5,15,0,3,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Wetland,44,3,17,0,2,12,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCR_M_R,Bareland,3,0,0,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Grassland,0,0,0,6,0,3,0,57,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Wetland,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Forest,0,0,0,123,0,65,0,316,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Shrubland,0,0,0,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Cropland,0,0,0,2,0,1,0,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Water,0,0,0,179,0,0,0,67,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCR_M_R,Bareland,0,0,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCR_M_R,Grassland,0,0,0,0,0,12,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCR_M_R,Wetland,0,0,0,0,0,29,0,0,19,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCR_M_R,Water,0,0,0,0,0,0,0,0,85,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCR_M_R,Bareland,0,0,0,0,0,2,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCR_M_R,Forest,0,0,0,0,0,74,0,0,44,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Grassland,0,58,5,6,27,3,91,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Forest,103,0,43,123,13,65,172,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Wetland,1,3,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Bareland,2,6,0,6,2,0,15,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Water,7,76,23,179,3,0,38,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Shrubland,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCR_M_R,Cropland,16,8,0,2,0,1,35,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Grassland,0,32,0,0,79,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Shrubland,0,4,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Forest,0,0,0,5,20,126,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Wetland,0,28,6,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Water,0,31,27,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCR_M_R,Bareland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Bareland,1,4,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Water,1,200,42,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Wetland,1,101,4,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Forest,3,0,1,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Cropland,1,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Grassland,0,86,26,0,40,9,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCR_M_R,Shrubland,0,20,1,0,2,0,0,0,0,0
