Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Shrubland,320,183,26,29,47,63,120,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Grassland,0,211,92,67,48,103,258,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Non_Wetland,14,10,2,1,0,1,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Bareland,182,64,25,0,19,104,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Water,1342,862,37,205,2,0,1033,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Forest,1117,0,154,104,96,574,386,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Cropland,652,388,0,143,143,89,117,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Wetland,648,295,12,27,2,296,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Built-up,138,137,26,43,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Non_Water,1,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LDH_M_R,Permanent_ice_and_snow,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDH_M_R,Non_Wetland,7,3,0,0,0,9,23,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDH_M_R,Shrubland,106,23,0,27,3,41,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDH_M_R,Grassland,0,90,0,27,17,200,311,307,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LDH_M_R,Cropland,657,160,0,146,82,118,102,412,0,0,0,0
