Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Shrubland,430,87,94,201,86,137,84,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Non_Wetland,8,0,0,10,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Grassland,0,126,73,160,35,46,60,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Bareland,356,83,0,133,52,44,104,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Built-up,421,182,166,232,37,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Water,1350,69,366,653,0,451,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Forest,1167,278,122,0,254,153,140,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Cropland,884,0,274,461,74,42,211,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Wetland,172,3,4,79,87,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Non_Water,2,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKC_M_R,Permanent_ice_and_snow,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Non_Wetland,2,0,1,2,8,13,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Shrubland,107,0,57,51,77,82,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Grassland,0,0,69,134,123,113,66,299,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Cropland,670,0,222,334,139,116,287,728,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Wetland,17,0,10,27,246,0,0,158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Bareland,221,0,0,65,187,15,127,156,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Built-up,194,0,166,104,71,22,0,292,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Water,380,0,145,349,0,252,51,807,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Forest,546,0,278,0,510,513,211,1099,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Non_Water,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKC_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Wetland,0,0,0,0,26,0,0,0,449,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Shrubland,0,0,0,0,0,0,0,0,305,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Grassland,0,0,0,0,34,35,0,0,257,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Water,0,0,0,0,0,438,0,0,659,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Forest,0,0,0,0,167,154,0,0,1222,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Bareland,0,0,0,0,71,13,0,0,60,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Cropland,0,0,0,0,27,6,0,0,288,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKC_M_R,Built-up,0,0,0,0,24,3,0,0,84,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Non_Wetland,2,0,8,1,0,17,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Grassland,0,87,174,86,25,107,50,218,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Wetland,44,2,179,19,39,0,0,166,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Bareland,172,37,0,51,15,7,51,48,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Water,399,21,1165,256,0,467,79,795,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Forest,568,209,831,0,192,710,160,952,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Non_Water,2,0,2,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Shrubland,145,30,154,43,24,70,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Built-up,254,29,327,81,9,58,0,183,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Cropland,682,0,547,233,52,129,272,395,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKC_M_R,Permanent_ice_and_snow,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Grassland,0,0,0,0,187,0,0,0,0,62,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Bareland,0,0,0,0,106,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Water,0,0,0,0,0,0,0,0,0,735,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Wetland,0,0,0,0,226,0,0,0,0,123,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Shrubland,0,0,0,0,126,0,0,0,0,60,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Forest,0,0,0,0,435,0,0,0,0,243,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Cropland,0,0,0,0,113,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKC_M_R,Built-up,0,0,0,0,39,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Grassland,0,593,15,288,34,35,136,648,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Bareland,0,471,0,117,71,13,222,407,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Water,0,806,92,538,0,438,99,893,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Forest,26,1039,22,0,167,154,241,1129,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Wetland,0,23,3,140,26,0,4,161,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Built-up,0,351,0,115,24,3,0,338,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Cropland,2,0,2,313,27,6,213,638,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Shrubland,0,67,4,45,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKC_M_R,Permanent_ice_and_snow,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Grassland,0,642,10,178,115,9,210,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Forest,0,727,1,0,657,81,627,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Shrubland,0,288,2,114,108,13,181,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Wetland,0,117,0,53,115,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Bareland,0,376,0,36,87,1,243,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Water,0,373,6,100,0,121,179,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Built-up,0,130,14,16,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Cropland,0,0,15,173,32,0,277,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKC_M_R,Wetland,53,9,25,177,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKC_M_R,Forest,218,169,167,0,81,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKC_M_R,Shrubland,125,121,93,281,105,31,0,0,0,0,2
