Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Built-up,Grassland,Forest,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Grassland,15,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Forest,288,82,34,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Built-up,6,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Bareland,1,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHQ_M_R,Water,94,102,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Grassland,0,5,1,26,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Forest,0,96,109,144,59,148,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Shrubland,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Built-up,0,0,1,20,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Cropland,0,1,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Water,0,42,0,77,0,42,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHQ_M_R,Wetland,0,0,9,8,0,11,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Bareland,0,1,11,0,0,9,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Grassland,0,10,2,16,17,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Built-up,0,6,0,31,0,2,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Cropland,0,1,0,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Forest,0,274,115,71,22,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Water,0,186,0,2,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHQ_M_R,Wetland,0,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Bareland,0,0,0,0,3,27,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Built-up,0,0,0,9,0,39,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Grassland,0,0,0,0,2,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Cropland,0,0,0,0,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Forest,0,1,87,6,22,131,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Water,0,8,0,1,0,43,124,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MHQ_M_R,Wetland,0,0,26,0,0,17,24,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Grassland,0,0,0,0,11,0,2,11,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Bareland,0,4,1,0,25,7,2,9,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Forest,0,82,34,80,78,119,0,69,21,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Built-up,0,4,1,3,0,21,11,19,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Water,0,102,0,58,10,43,50,24,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHQ_M_R,Cropland,0,0,0,0,2,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Grassland,0,0,1,0,9,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Bareland,0,0,5,0,6,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Forest,0,0,146,4,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Water,0,0,0,3,0,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHQ_M_R,Wetland,0,0,36,0,0,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Built-up,0,0,0,4,0,5,36,0,7,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Forest,0,0,2,0,0,1,0,0,8,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Grassland,0,0,0,0,0,0,35,0,12,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Bareland,0,0,0,0,0,0,9,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Water,0,0,0,12,0,0,273,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHQ_M_R,Wetland,0,0,7,0,0,0,61,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,0,110
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,Bareland,0,0,3,0,0,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,Wetland,0,0,15,0,0,0,0,0,0,0,0,27
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,Forest,0,0,86,0,0,0,0,0,0,0,0,59
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHQ_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,0,2
