Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Built-up,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Non_Wetland,2,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Water,290,2,27,132,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Wetland,0,8,1,13,109,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Grassland,13,0,2,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Bareland,3,0,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Built-up,1,2,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Forest,301,58,0,68,213,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFU_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Non_Wetland,0,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Wetland,0,93,97,2,67,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Water,38,168,319,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Grassland,0,0,24,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Bareland,0,22,58,0,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Built-up,0,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Forest,7,88,0,1,82,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFU_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Non_Wetland,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Forest,248,29,0,27,166,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Grassland,18,0,1,1,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Water,216,2,50,111,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Wetland,0,1,9,6,75,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Bareland,1,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Built-up,2,0,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFU_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Wetland,0,0,0,0,8,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Forest,102,0,0,0,47,417,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Water,223,0,0,0,0,255,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Grassland,0,0,0,0,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Bareland,31,0,0,0,9,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Built-up,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFU_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,Wetland,0,0,0,0,86,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,Grassland,0,0,0,0,1,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,Water,0,0,0,0,0,0,195,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,Bareland,0,0,0,0,56,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFU_M_R,Forest,0,0,0,0,146,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Wetland,0,13,15,29,8,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Forest,102,87,0,117,47,0,0,50,7,22,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Water,223,81,132,146,0,0,0,33,1,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Grassland,0,0,8,3,0,0,0,4,1,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFU_M_R,Bareland,31,10,19,0,9,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,Wetland,0,0,72,5,61,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,Water,111,0,101,49,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,Grassland,1,0,3,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,Forest,46,0,0,0,175,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFU_M_R,Bareland,0,0,25,0,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,Forest,1,8,0,4,7,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,Water,33,15,390,67,0,0,0,0,1,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,Wetland,0,13,228,12,27,0,0,0,1,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,Bareland,3,0,1,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFU_M_R,Grassland,0,0,8,0,0,0,0,0,0,0,0,0
