Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Built-up,Grassland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Grassland,133,2,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Wetland,582,0,62,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Forest,634,115,47,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Water,537,213,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Shrubland,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Cropland,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Bareland,7,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHU_M_R,Built-up,50,5,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Grassland,0,82,33,19,8,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Non_Wetland,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Bareland,0,3,3,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Forest,0,410,259,0,60,20,63,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Shrubland,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Water,0,449,0,26,13,4,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Cropland,0,0,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Wetland,0,0,401,7,9,2,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHU_M_R,Built-up,0,26,18,5,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Grassland,0,99,14,0,18,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Non_Wetland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Forest,0,437,131,0,87,30,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHU_M_R,Water,0,526,0,32,45,27,16,0,0,0,0
