Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Water,Wetland,Shrubland,Built-up,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Shrubland,32,20,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Non_Wetland,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Grassland,0,19,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Cropland,10,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Wetland,100,97,0,2,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Bareland,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Water,74,180,0,6,0,24,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Built-up,4,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZL_M_R,Forest,122,0,0,0,20,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Shrubland,11,6,0,10,1,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Non_Wetland,2,1,0,1,0,2,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Grassland,0,8,0,9,0,20,22,16,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Cropland,0,0,0,3,0,0,1,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Bareland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Forest,158,0,0,48,92,225,66,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Water,31,33,0,0,0,133,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZL_M_R,Wetland,22,2,0,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Grassland,0,1,3,4,2,38,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Non_Wetland,1,0,0,0,0,7,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Forest,125,0,12,30,87,178,143,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZL_M_R,Shrubland,10,0,5,2,3,15,0,0,0,0
