Dataset,MajorityClass,Water,Bareland,Grassland,Wetland,Forest,Built-up,Shrubland,Lichens_and_Mosses,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Grassland,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Forest,203,25,115,87,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Water,0,60,43,62,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Wetland,26,4,13,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,Bareland,13,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Grassland,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Forest,216,19,33,300,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Water,0,21,12,232,87,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Wetland,13,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,Bareland,11,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Water,0,16,104,9,210,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Wetland,29,0,23,0,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Bareland,7,0,5,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R,Forest,158,0,113,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,Water,0,123,62,162,104,24,49,5,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,Forest,64,117,83,115,0,45,58,10,26,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,Grassland,0,0,0,0,2,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,Bareland,1,0,1,5,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,Grassland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,Water,0,0,0,162,0,0,0,0,0,128,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,Forest,64,0,0,115,0,0,0,0,0,295,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,Bareland,1,0,0,5,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,Grassland,0,2,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,Forest,203,4,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,Wetland,42,2,0,0,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,Bareland,9,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,Water,0,31,0,0,101,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,183,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,Wetland,27,0,0,0,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,Bareland,5,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,Forest,188,0,0,0,0,0,0,0,0,0,135,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,Water,0,91,4,5,395,0,0,0,7,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,Forest,5,8,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,Wetland,6,9,0,0,71,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,Grassland,0,0,0,0,4,0,0,0,0,0,0,0
