Dataset,MajorityClass,Grassland,Cropland,Wetland,Lichens_and_Mosses,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Shrubland,3,1,3,1,3,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Grassland,0,13,5,1,11,6,4,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Cropland,45,0,0,0,33,22,6,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Wetland,8,0,0,0,6,0,12,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Bareland,73,17,0,0,0,30,55,66,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Built-up,16,7,1,0,11,0,10,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Water,118,26,7,2,97,16,0,109,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Forest,83,35,8,3,68,31,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R,Permanent_ice_and_snow,14,0,0,0,12,5,6,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Grassland,0,0,0,0,0,0,1,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Forest,0,0,27,0,0,0,12,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Wetland,0,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Bareland,0,0,21,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,Water,0,0,48,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTS_M_R,Shrubland,0,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTS_M_R,Grassland,0,0,0,0,0,0,6,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTS_M_R,Cropland,0,0,0,0,0,0,10,0,0,6,0,0
