Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUE_M_R
44,NULL,Water,Water,NULL,Water,NULL
45,NULL,Water,Forest,NULL,Non_Wetland,NULL
46,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
47,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
48,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
49,NULL,Forest,Wetland,NULL,Wetland,NULL
50,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
51,NULL,Forest,Water,NULL,Water,NULL
52,NULL,Forest,Forest,NULL,Non_Wetland,NULL
53,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
54,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
55,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
56,Grassland,NULL,Wetland,NULL,Wetland,NULL
57,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
58,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
59,Grassland,NULL,Water,NULL,Water,NULL
60,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
61,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
62,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
63,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
64,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
65,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
66,Grassland,Wetland,Water,NULL,Water,NULL
67,Grassland,Bareland,Wetland,NULL,Wetland,NULL
68,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL
69,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
70,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
71,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
72,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL
73,Grassland,Built-up,Water,NULL,Water,NULL
74,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
75,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
76,Grassland,Water,Wetland,NULL,Wetland,NULL
77,Grassland,Water,Bareland,NULL,Non_Wetland,NULL
78,Grassland,Water,Built-up,NULL,Non_Wetland,NULL
79,Grassland,Water,Water,NULL,Water,NULL
80,Grassland,Water,Forest,NULL,Non_Wetland,NULL
81,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
82,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
83,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
84,Grassland,Forest,Wetland,NULL,Wetland,NULL
85,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
86,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
87,Grassland,Forest,Water,NULL,Water,NULL
88,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
89,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
90,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
91,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
92,Cropland,NULL,Wetland,NULL,Wetland,NULL
93,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
94,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
95,Cropland,NULL,Water,NULL,Water,NULL
96,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
97,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
98,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
99,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
100,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
101,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
102,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
103,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
104,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
105,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
106,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
107,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
108,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
109,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
110,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
111,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
112,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
113,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
114,Cropland,Water,Water,NULL,Water,NULL
115,Cropland,Water,Forest,NULL,Non_Wetland,NULL
116,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
117,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
118,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
119,Cropland,Forest,Wetland,NULL,Wetland,NULL
120,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
121,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
122,Cropland,Forest,Water,NULL,Water,NULL
123,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
124,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
125,Wetland,NULL,Wetland,NULL,Wetland,NULL
126,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
127,Wetland,NULL,Water,NULL,Water,NULL
128,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
129,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
130,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
131,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
132,Wetland,Wetland,Wetland,NULL,Wetland,NULL
133,Wetland,Wetland,Water,NULL,Water,NULL
134,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
135,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
136,Wetland,Bareland,Water,NULL,Water,NULL
137,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
138,Wetland,Water,Wetland,NULL,Wetland,NULL
139,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
140,Wetland,Water,Water,NULL,Water,NULL
141,Wetland,Water,Forest,NULL,Non_Wetland,NULL
142,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
143,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
144,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
145,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
146,Bareland,NULL,Wetland,NULL,Wetland,NULL
147,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
148,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
149,Bareland,NULL,Water,NULL,Water,NULL
150,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
151,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
152,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
153,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
154,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
155,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
156,Bareland,Wetland,Wetland,NULL,Wetland,NULL
157,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
158,Bareland,Wetland,Water,NULL,Water,NULL
159,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL
160,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
161,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
162,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
163,Bareland,Bareland,Wetland,NULL,Wetland,NULL
164,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
165,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
166,Bareland,Bareland,Water,NULL,Water,NULL
167,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL
168,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
169,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
170,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
171,Bareland,Built-up,Wetland,NULL,Wetland,NULL
172,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
173,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
174,Bareland,Built-up,Water,NULL,Water,NULL
175,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL
176,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
177,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
178,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
179,Bareland,Water,Wetland,NULL,Wetland,NULL
180,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
181,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
182,Bareland,Water,Water,NULL,Water,NULL
183,Bareland,Water,Forest,NULL,Non_Wetland,NULL
184,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
185,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
186,Bareland,Forest,Wetland,NULL,Wetland,NULL
187,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
188,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL
189,Bareland,Forest,Water,NULL,Water,NULL
190,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
191,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
192,Water,NULL,Grassland,NULL,Non_Wetland,NULL
193,Water,NULL,Cropland,NULL,Non_Wetland,NULL
194,Water,NULL,Wetland,NULL,Wetland,NULL
195,Water,NULL,Bareland,NULL,Non_Wetland,NULL
196,Water,NULL,Built-up,NULL,Non_Wetland,NULL
197,Water,NULL,Water,NULL,Water,NULL
198,Water,NULL,Forest,NULL,Non_Wetland,NULL
199,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
200,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
201,Water,Cropland,Built-up,NULL,Non_Wetland,NULL
202,Water,Cropland,Forest,NULL,Non_Wetland,NULL
203,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
204,Water,Wetland,Wetland,NULL,Wetland,NULL
205,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
206,Water,Wetland,Built-up,NULL,Non_Wetland,NULL
207,Water,Wetland,Water,NULL,Water,NULL
208,Water,Wetland,Forest,NULL,Non_Wetland,NULL
209,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL
210,Water,Bareland,Grassland,NULL,Non_Wetland,NULL
211,Water,Bareland,Cropland,NULL,Non_Wetland,NULL
212,Water,Bareland,Wetland,NULL,Wetland,NULL
213,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
214,Water,Bareland,Built-up,NULL,Non_Wetland,NULL
215,Water,Bareland,Water,NULL,Water,NULL
216,Water,Bareland,Forest,NULL,Non_Wetland,NULL
217,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL
218,Water,Built-up,Cropland,NULL,Non_Wetland,NULL
219,Water,Built-up,Wetland,NULL,Wetland,NULL
220,Water,Built-up,Bareland,NULL,Non_Wetland,NULL
221,Water,Built-up,Built-up,NULL,Non_Wetland,NULL
222,Water,Built-up,Water,NULL,Water,NULL
223,Water,Built-up,Forest,NULL,Non_Wetland,NULL
224,Water,Water,NULL,NULL,Non_Wetland,NULL
225,Water,Water,Shrubland,NULL,Non_Wetland,NULL
226,Water,Water,Grassland,NULL,Non_Wetland,NULL
227,Water,Water,Cropland,NULL,Non_Wetland,NULL
228,Water,Water,Wetland,NULL,Wetland,NULL
229,Water,Water,Bareland,NULL,Non_Wetland,NULL
230,Water,Water,Built-up,NULL,Non_Wetland,NULL
231,Water,Water,Water,NULL,Water,NULL
232,Water,Water,Forest,NULL,Non_Wetland,NULL
233,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
234,Water,Forest,Grassland,NULL,Non_Wetland,NULL
235,Water,Forest,Cropland,NULL,Non_Wetland,NULL
236,Water,Forest,Wetland,NULL,Wetland,NULL
237,Water,Forest,Bareland,NULL,Non_Wetland,NULL
238,Water,Forest,Built-up,NULL,Non_Wetland,NULL
239,Water,Forest,Water,NULL,Water,NULL
240,Water,Forest,Forest,NULL,Non_Wetland,NULL
241,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL
242,Forest,NULL,NULL,NULL,Non_Wetland,NULL
243,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
244,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
245,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
246,Forest,NULL,Wetland,NULL,Wetland,NULL
247,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
248,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
249,Forest,NULL,Water,NULL,Water,NULL
250,Forest,NULL,Forest,NULL,Non_Wetland,NULL
251,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
252,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
253,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
254,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
255,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
256,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
257,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
258,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
259,Forest,Wetland,Cropland,NULL,Non_Wetland,NULL
260,Forest,Wetland,Wetland,NULL,Wetland,NULL
261,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
262,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL
263,Forest,Wetland,Water,NULL,Water,NULL
264,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
265,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL
266,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL
267,Forest,Bareland,Cropland,NULL,Non_Wetland,NULL
268,Forest,Bareland,Wetland,NULL,Wetland,NULL
269,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL
270,Forest,Bareland,Built-up,NULL,Non_Wetland,NULL
271,Forest,Bareland,Water,NULL,Water,NULL
272,Forest,Bareland,Forest,NULL,Non_Wetland,NULL
273,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
274,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
275,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
276,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
277,Forest,Built-up,Wetland,NULL,Wetland,NULL
278,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL
279,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
280,Forest,Built-up,Water,NULL,Water,NULL
281,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
282,Forest,Water,NULL,NULL,Non_Wetland,NULL
283,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
284,Forest,Water,Grassland,NULL,Non_Wetland,NULL
285,Forest,Water,Cropland,NULL,Non_Wetland,NULL
286,Forest,Water,Wetland,NULL,Wetland,NULL
287,Forest,Water,Bareland,NULL,Non_Wetland,NULL
288,Forest,Water,Built-up,NULL,Non_Wetland,NULL
289,Forest,Water,Water,NULL,Water,NULL
290,Forest,Water,Forest,NULL,Non_Wetland,NULL
291,Forest,Forest,NULL,NULL,Non_Wetland,NULL
292,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
293,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
294,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
295,Forest,Forest,Wetland,NULL,Wetland,NULL
296,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
297,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
298,Forest,Forest,Water,NULL,Water,NULL
299,Forest,Forest,Forest,NULL,Non_Wetland,NULL
