Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Shrubland,3,1,2,2,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Grassland,0,0,1,3,1,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Cropland,17,0,3,3,0,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Wetland,36,0,2,0,57,41,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Bareland,8,0,0,1,14,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Built-up,14,0,4,0,6,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Water,60,29,12,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R,Forest,57,21,13,13,39,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Forest,0,26,0,0,14,0,53,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Wetland,0,0,0,0,11,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Water,0,44,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Built-up,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Grassland,0,4,0,0,1,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Cropland,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,Bareland,0,8,0,0,4,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Shrubland,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Cropland,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Wetland,0,0,0,0,64,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Water,0,0,0,0,0,0,0,82,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Forest,0,0,0,0,56,0,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Bareland,0,0,0,0,15,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Built-up,0,0,0,0,4,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,Grassland,0,0,0,0,2,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Water,20,44,8,1,0,58,0,0,56,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Cropland,2,0,1,0,0,4,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Wetland,0,0,0,0,11,22,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Bareland,3,8,0,0,4,8,0,0,11,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Built-up,5,0,7,0,1,5,0,0,13,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Forest,15,26,15,4,14,0,0,0,56,25
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,Grassland,0,4,0,0,1,8,0,0,10,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Water,0,51,32,30,0,30,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Forest,0,32,4,25,34,0,0,0,0,5
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Wetland,0,0,16,14,23,23,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Grassland,0,5,1,7,3,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Cropland,0,3,0,7,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,Bareland,0,2,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Water,16,26,27,0,0,62,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Wetland,11,0,8,0,21,44,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Forest,10,7,7,0,14,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Grassland,0,0,1,0,0,5,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Built-up,0,0,0,0,1,6,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Bareland,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0
