Dataset,MajorityClass,Grassland,Wetland,Forest,Water,Bareland,Built-up,Non_Wetland,Shrubland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Shrubland,31,71,48,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Non_Wetland,1,17,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Grassland,0,351,173,45,8,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Wetland,124,0,702,465,10,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Bareland,18,25,22,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Water,50,764,420,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Forest,147,690,0,162,8,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Cropland,48,105,56,4,12,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVA_M_R,Built-up,5,1,6,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Shrubland,0,0,0,0,0,0,87,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Wetland,0,0,0,198,0,0,1151,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Grassland,0,97,0,53,0,0,460,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Forest,0,331,0,178,0,0,1209,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Water,0,407,0,0,0,0,338,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Cropland,0,5,0,4,0,0,133,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Bareland,0,7,0,1,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVA_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Shrubland,42,6,11,7,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Non_Wetland,8,3,4,4,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Grassland,0,45,33,16,28,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Wetland,1107,0,303,511,6,0,0,191,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Bareland,34,1,1,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Water,643,228,151,0,8,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Forest,719,225,0,187,13,0,0,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Cropland,117,18,26,7,3,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVA_M_R,Built-up,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Grassland,0,118,27,86,26,3,0,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVA_M_R,Non_Wetland,8,5,4,3,0,0,0,5,0,0,0,0
