Dataset,MajorityClass,Forest,Built-up,Water,Wetland,Bareland,Grassland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Grassland,100,1,20,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Built-up,55,0,4,0,5,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Water,424,0,0,0,156,247,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Shrubland,2,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Bareland,14,0,44,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Cropland,29,1,6,0,8,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Forest,0,2,213,0,103,323,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LYQ_M_R,Wetland,1,0,3,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Grassland,48,8,57,23,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Built-up,1,0,6,0,35,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Water,246,8,0,168,112,233,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Forest,0,16,188,156,200,297,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Shrubland,0,1,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Cropland,8,0,4,1,20,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Bareland,12,0,16,15,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYQ_M_R,Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYQ_M_R,Forest,0,63,361,0,31,609,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYQ_M_R,Grassland,7,33,76,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYQ_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
