Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Shrubland,213,74,91,73,146,17,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Grassland,0,98,22,15,121,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Bareland,184,57,0,45,40,3,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Built-up,202,53,83,0,101,3,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Forest,390,47,30,36,0,46,53,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Non_Wetland,3,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Cropland,437,0,149,125,184,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Wetland,70,15,2,0,147,0,32,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Water,135,15,15,1,258,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MNM_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Shrubland,0,0,0,0,0,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Wetland,0,0,0,0,0,0,5,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Grassland,0,0,0,0,0,22,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Forest,0,0,0,0,0,178,54,289,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Cropland,0,0,0,0,0,0,1,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Water,0,0,0,0,0,195,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Bareland,0,0,0,0,0,1,4,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNM_M_R,Built-up,0,0,0,0,0,2,1,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Shrubland,65,0,54,24,22,3,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Non_Wetland,0,0,0,0,0,3,1,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Grassland,0,0,26,12,58,0,19,0,225,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Cropland,303,0,214,66,84,0,1,0,498,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Wetland,21,0,5,0,16,0,108,0,176,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Bareland,33,0,0,36,3,0,18,0,127,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Built-up,85,0,101,0,1,0,29,0,179,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Water,36,0,23,0,62,28,0,0,216,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Forest,246,0,191,38,0,101,166,0,763,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Non_Water,0,0,0,0,0,0,1,0,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Grassland,0,73,146,6,52,4,19,0,253,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Non_Wetland,0,0,0,0,0,5,0,0,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Bareland,16,57,0,77,1,0,4,0,79,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Forest,104,50,338,44,0,177,101,0,637,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNM_M_R,Non_Water,0,0,0,0,0,0,2,0,1,0,0
