Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Shrubland,363,104,82,53,42,223,220,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Non_Wetland,6,3,0,0,0,5,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Grassland,0,147,35,19,0,141,131,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Bareland,393,109,0,49,49,79,187,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Built-up,248,103,73,0,6,87,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Water,840,134,254,6,0,812,992,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Forest,799,164,77,59,149,0,626,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Cropland,546,0,133,78,16,183,181,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Non_Water,8,2,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Wetland,706,292,59,0,166,533,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Lichens_and_Mosses,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LPH_M_R,Permanent_ice_and_snow,17,1,6,0,0,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Non_Wetland,7,0,1,0,6,6,8,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Shrubland,75,0,41,16,84,60,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Grassland,0,0,40,25,106,35,26,247,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Cropland,432,0,184,133,202,69,23,364,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Wetland,159,0,172,17,946,444,0,1045,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPH_M_R,Bareland,127,0,0,60,216,22,9,174,0,0,0,0
