Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Cropland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Shrubland,276,135,48,76,6,6,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Non_Wetland,13,5,1,1,1,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Grassland,0,277,64,65,86,23,52,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Bareland,431,119,0,47,30,25,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Built-up,312,228,94,0,34,16,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Water,859,662,133,18,8,0,428,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Forest,1655,0,187,341,102,105,307,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Cropland,482,264,56,64,0,5,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Wetland,1206,462,32,45,29,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MPS_M_R,Permanent_ice_and_snow,31,3,14,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Non_Wetland,3,6,0,0,0,1,11,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Shrubland,75,61,25,21,0,13,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Grassland,0,344,91,55,0,59,198,314,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Cropland,254,344,71,48,0,12,16,373,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Wetland,400,378,18,12,0,382,0,248,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Bareland,149,167,0,52,0,155,62,156,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Built-up,186,154,122,0,0,34,43,205,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Water,297,443,26,46,0,0,311,203,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Forest,905,0,271,257,0,372,668,1020,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPS_M_R,Lichens_and_Mosses,0,2,0,0,0,0,0,0,0,0,0,0
