Dataset,MajorityClass,Forest,Bareland,Built-up,Cropland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Grassland,229,55,46,75,11,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Non_Wetland,10,0,0,1,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Shrubland,41,7,8,5,1,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Cropland,188,35,45,0,1,0,228,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Wetland,95,6,1,0,0,41,100,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Bareland,58,0,25,12,1,0,121,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Built-up,54,27,0,19,0,0,101,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Water,344,135,5,0,54,0,358,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Forest,0,33,48,28,30,68,433,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVJ_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,Non_Wetland,1,2,0,0,10,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,Shrubland,14,13,2,0,12,2,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,Grassland,80,82,22,0,101,35,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,Cropland,70,51,18,0,70,6,320,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVJ_M_R,Bareland,9,0,23,0,14,5,127,2,0,0,0,0
