Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBB_M_R
49,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
53,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
55,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
58,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
59,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
60,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
66,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
68,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
70,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
75,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
76,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
84,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
87,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
89,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
90,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
92,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
94,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
95,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
96,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
97,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
98,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
99,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
100,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
101,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
102,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
104,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
105,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
106,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
107,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
108,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
111,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
112,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
114,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
115,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
119,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
120,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
121,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
122,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
131,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
132,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
133,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
134,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
135,Grassland,Water,Water,Water,Water,NULL,NULL,Forest
136,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
141,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
142,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
143,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
144,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
145,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
146,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
147,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
148,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
149,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
152,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
154,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
155,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
158,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
159,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
160,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
162,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
163,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
166,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
167,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
168,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
169,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
172,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
176,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
177,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
182,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
183,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
184,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
185,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
186,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
187,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
189,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
190,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Water,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
192,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
193,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
194,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
195,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
196,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
197,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
198,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
199,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
200,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
201,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
202,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
203,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
204,Water,Bareland,Water,Water,Water,NULL,NULL,Water
205,Water,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
206,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
207,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
209,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
210,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
211,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
212,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
214,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
217,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
218,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
219,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
220,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
221,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
222,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
223,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
224,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
225,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
226,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
227,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
228,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
229,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
230,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
231,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
232,Water,Water,Water,NULL,Water,NULL,NULL,Water
233,Water,Water,Water,NULL,Water,NULL,NULL,Forest
234,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
235,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
236,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
237,Water,Water,Water,Water,Water,NULL,NULL,Grassland
238,Water,Water,Water,Water,Water,NULL,NULL,Water
239,Water,Water,Water,Water,Water,NULL,NULL,Forest
240,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
241,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
242,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
243,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
244,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
245,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
246,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
247,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
248,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
249,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
250,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
251,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
252,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,Permanent_ice_and_snow,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
255,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
256,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
257,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
261,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
262,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
264,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
267,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
268,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
269,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
270,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
272,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
273,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
274,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
275,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
276,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
277,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
278,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
279,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
281,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
282,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
283,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
284,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
285,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
286,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
288,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
289,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
290,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
292,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
293,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
294,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
295,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Forest,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
298,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
299,Forest,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
300,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
302,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
304,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
305,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
306,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
309,Forest,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
310,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
311,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
312,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
313,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
314,Forest,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
315,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
316,Forest,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
317,Forest,Wetland,Water,NULL,Water,NULL,NULL,Forest
318,Forest,Wetland,Water,Water,Water,NULL,NULL,Grassland
319,Forest,Wetland,Water,Water,Water,NULL,NULL,Water
320,Forest,Wetland,Water,Water,Water,NULL,NULL,Forest
321,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
322,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
323,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
324,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
327,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
329,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
330,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
331,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
332,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
333,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
334,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
335,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
336,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
338,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
339,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
341,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
342,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
343,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
344,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
345,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
346,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
