Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Shrubland,3,3,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Grassland,0,16,4,4,21,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Cropland,28,6,7,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Wetland,121,0,42,1,64,53,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Bareland,52,7,0,1,16,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Built-up,21,2,13,0,13,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Water,141,52,49,2,93,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Forest,91,42,17,5,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFE_M_R,Permanent_ice_and_snow,38,3,20,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Grassland,0,10,0,0,0,5,46,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Bareland,0,24,0,0,0,15,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Built-up,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Forest,0,29,0,0,0,14,86,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Wetland,0,0,0,0,0,8,93,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Water,0,63,0,0,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Cropland,0,1,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFE_M_R,Grassland,0,0,0,0,0,46,0,13,0,0,0
