Dataset,MajorityClass,Grassland,Cropland,Water,Forest,Bareland,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Shrubland,253,60,78,116,52,38,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Grassland,0,149,40,174,71,14,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Non_Wetland,7,0,1,2,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Bareland,162,62,10,49,0,1,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Forest,626,202,182,0,106,33,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Cropland,560,0,69,302,194,1,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Wetland,97,8,52,33,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Water,318,7,0,182,63,83,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Built-up,101,40,0,53,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R,Lichens_and_Mosses,4,3,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Non_Wetland,1,0,3,2,0,9,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Shrubland,82,0,16,30,28,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Grassland,0,0,38,101,61,82,2,283,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Cropland,569,0,25,203,192,31,48,512,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Wetland,15,0,57,4,0,0,0,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Bareland,144,0,8,17,0,10,1,90,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Water,146,0,0,103,27,43,0,377,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Forest,442,0,204,0,152,250,1,861,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Lichens_and_Mosses,2,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Built-up,56,0,2,6,64,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Grassland,0,130,31,15,197,58,0,213,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Non_Wetland,3,0,0,0,1,7,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Wetland,32,0,62,0,4,0,0,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Forest,445,185,194,0,410,324,0,653,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Bareland,77,35,1,0,0,1,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Water,132,7,0,87,142,120,0,242,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Shrubland,96,35,40,9,84,39,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Cropland,458,0,36,27,473,22,16,227,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,Lichens_and_Mosses,2,1,0,0,4,0,0,1,0,0,0,0
