Dataset,MajorityClass,Grassland,Wetland,Built-up,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Shrubland,3,2,1,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Grassland,0,6,6,14,27,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Cropland,19,0,2,4,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Wetland,75,0,1,78,55,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Bareland,17,0,0,43,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Built-up,17,1,0,11,13,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Water,96,7,6,0,94,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Forest,86,19,12,61,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NVF_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Grassland,0,9,0,3,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Built-up,0,2,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Forest,0,37,0,15,0,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Wetland,0,0,0,2,0,0,75,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Water,0,52,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NVF_M_R,Bareland,0,13,0,2,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Shrubland,0,0,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Grassland,0,0,0,33,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Wetland,0,0,0,81,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Bareland,0,0,0,36,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Built-up,0,0,0,15,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Water,0,0,0,0,0,0,0,111,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Forest,0,0,0,88,0,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NVF_M_R,Cropland,0,0,0,1,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Water,42,52,46,0,60,22,0,0,69,28,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Cropland,2,0,4,0,7,1,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Wetland,4,0,15,2,25,0,0,0,30,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Built-up,5,2,0,1,7,3,0,0,13,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Forest,32,37,42,15,0,24,0,0,71,30,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Grassland,0,9,12,3,23,4,0,0,33,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Bareland,7,13,9,2,13,0,0,0,18,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NVF_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Grassland,0,25,11,19,23,2,0,0,0,10,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Forest,0,45,33,45,0,7,0,0,0,11,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Water,0,58,24,0,47,40,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Wetland,0,0,24,16,23,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Cropland,0,0,3,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NVF_M_R,Bareland,0,6,2,11,4,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Water,47,17,0,0,82,54,0,0,0,23,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Wetland,22,0,0,20,42,15,0,0,0,14,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Built-up,4,0,0,0,6,1,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Forest,25,5,0,19,0,11,0,0,0,13,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Grassland,0,1,0,3,10,3,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Bareland,0,0,0,0,6,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NVF_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
