Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Shrubland,108,67,26,2,6,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Grassland,0,297,243,37,79,99,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Non_Wetland,5,5,5,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Built-up,161,182,120,0,12,3,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Forest,824,0,372,142,275,208,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Cropland,843,635,0,187,209,178,212,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Wetland,197,130,22,3,85,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Bareland,73,49,28,19,17,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Water,537,565,155,10,0,411,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KYS_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Non_Wetland,2,2,0,0,3,11,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Shrubland,51,22,0,2,15,39,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Grassland,0,138,0,29,140,302,39,116,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Cropland,753,347,0,209,375,534,238,208,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Wetland,63,8,0,0,293,0,7,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Bareland,51,21,0,35,64,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Water,271,153,0,22,0,390,21,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Forest,672,0,0,107,544,925,160,416,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Built-up,109,45,0,0,16,50,84,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYS_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Wetland,0,0,0,0,24,0,0,0,720,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Grassland,0,0,0,0,29,26,0,0,698,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Water,0,0,0,0,0,244,0,0,895,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Shrubland,0,0,0,0,0,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Forest,0,0,0,0,80,112,0,0,1874,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Cropland,0,0,0,0,56,32,0,0,1107,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Built-up,0,0,0,0,11,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYS_M_R,Bareland,0,0,0,0,12,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Grassland,0,107,82,4,67,302,160,129,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Non_Wetland,6,1,0,0,1,10,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Forest,859,0,144,9,337,996,558,355,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Wetland,161,6,0,0,175,0,12,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Water,465,134,3,11,0,635,293,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Shrubland,53,14,7,0,6,36,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Cropland,757,198,0,80,188,481,695,164,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Bareland,33,4,0,5,5,20,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Built-up,171,41,12,0,6,60,246,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Grassland,0,0,0,0,257,0,0,0,0,79,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Wetland,0,0,0,0,203,0,0,0,0,140,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Shrubland,0,0,0,0,12,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Forest,0,0,0,0,439,0,0,0,0,208,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Cropland,0,0,0,0,312,0,0,0,0,144,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Water,0,0,0,0,0,0,0,0,0,469,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Bareland,0,0,0,0,7,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYS_M_R,Built-up,0,0,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Grassland,0,481,480,142,29,26,30,568,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Forest,277,0,787,262,80,112,94,756,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Wetland,11,299,52,7,24,0,15,191,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Water,41,745,462,57,0,244,119,350,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Cropland,122,586,0,268,56,32,41,587,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Bareland,1,24,141,141,12,0,0,30,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Shrubland,4,5,8,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Built-up,5,56,195,0,11,0,3,76,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYS_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Grassland,0,181,1080,139,44,8,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Forest,0,0,1368,359,335,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Shrubland,0,22,77,12,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Wetland,0,48,514,3,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Bareland,0,9,187,77,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Water,0,100,1113,45,0,83,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Built-up,0,3,85,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYS_M_R,Cropland,0,132,0,234,23,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Forest,160,0,195,0,99,24,41,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Shrubland,25,79,23,0,2,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Cropland,257,400,0,0,118,43,111,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Wetland,85,233,41,0,107,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Water,105,508,92,0,0,151,42,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Bareland,5,30,20,0,3,0,0,0,0,0,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Built-up,13,100,123,0,8,0,50,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYS_M_R,Grassland,0,268,158,0,82,46,25,0,0,0,0,5
