Dataset,MajorityClass,Forest,Wetland,Built-up,Grassland,Water,Bareland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Grassland,157,17,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Non_Wetland,12,1,0,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Wetland,761,0,0,1107,159,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Bareland,53,2,3,126,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Water,620,289,3,943,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Forest,0,66,6,781,58,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Shrubland,17,0,1,19,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Cropland,25,0,0,39,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPB_M_R,Built-up,166,2,0,222,12,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Non_Wetland,1,14,0,3,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Grassland,75,326,0,0,89,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Wetland,94,0,2,193,467,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Bareland,9,41,0,17,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Water,99,766,21,124,0,119,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Forest,0,880,20,411,444,299,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Shrubland,6,13,0,5,7,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Cropland,4,36,0,6,3,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPB_M_R,Built-up,11,108,0,42,52,105,0,0,0,0,0,0
