Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Shrubland,309,79,74,87,33,178,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Grassland,0,144,43,49,8,208,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Bareland,275,77,0,122,27,34,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Built-up,389,94,98,0,36,219,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Water,922,142,211,76,0,509,245,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Forest,568,160,47,54,62,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Non_Water,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Cropland,534,0,167,134,41,306,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Wetland,459,43,48,10,88,318,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LWQ_M_R,Permanent_ice_and_snow,4,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Shrubland,0,0,0,0,0,0,0,167,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Water,0,0,0,0,0,0,729,204,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Grassland,0,0,0,0,9,0,93,126,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Cropland,0,0,0,0,5,0,42,128,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Bareland,0,0,0,0,3,0,55,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Built-up,0,0,0,0,1,0,59,43,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Forest,0,0,0,0,47,0,336,307,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWQ_M_R,Wetland,0,0,0,0,5,0,0,407,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Shrubland,73,0,55,37,49,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Grassland,0,0,41,82,41,44,0,0,333,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Cropland,636,0,208,260,93,85,0,0,587,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Bareland,175,0,0,94,205,5,0,0,115,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Built-up,132,0,67,0,128,15,0,0,176,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Water,217,0,52,164,0,112,0,0,599,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Forest,344,0,84,190,128,0,0,0,916,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Non_Water,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Wetland,122,0,35,45,228,90,0,0,440,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWQ_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,2,0,0,0
