Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Forest,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Non_Wetland,1,1,4,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Shrubland,4,3,8,7,1,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Grassland,0,42,101,87,27,14,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Wetland,150,43,0,186,135,47,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Lichens_and_Mosses,1,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Bareland,20,10,51,0,29,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Built-up,31,4,46,59,7,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Water,76,8,166,172,0,39,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Forest,150,35,156,178,37,0,39,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Cropland,36,0,66,69,16,7,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MGE_M_R,Permanent_ice_and_snow,2,0,2,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Non_Wetland,1,0,5,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Grassland,0,0,125,38,44,24,24,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGE_M_R,Bareland,67,0,101,0,97,11,19,0,0,0,0
