Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Shrubland,150,18,4,3,6,31,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Grassland,0,174,37,23,55,230,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Non_Wetland,12,4,2,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Bareland,341,66,7,0,94,129,89,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Built-up,535,170,44,197,0,352,94,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Water,1093,127,143,388,71,870,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Forest,1487,318,170,225,274,0,450,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Cropland,889,0,46,169,195,462,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Wetland,466,32,0,9,9,150,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHU_M_R,Permanent_ice_and_snow,9,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Non_Wetland,0,0,14,1,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Grassland,0,0,213,90,102,121,104,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Cropland,328,0,305,238,327,251,161,51,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Wetland,18,0,0,36,10,14,137,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Bareland,5,0,28,0,101,54,173,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Built-up,59,0,85,192,0,88,132,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Forest,317,0,731,428,379,0,546,97,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Shrubland,12,0,35,14,13,12,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Water,85,0,328,222,334,288,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHU_M_R,Permanent_ice_and_snow,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Wetland,0,0,0,0,0,0,8,0,527,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Grassland,0,0,34,0,0,0,23,0,447,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Forest,0,0,262,0,0,0,162,0,1395,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Water,0,0,430,0,0,0,0,0,655,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Shrubland,0,0,0,0,0,0,0,0,67,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Bareland,0,0,51,0,0,0,31,0,98,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Cropland,0,0,25,0,0,0,21,0,496,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHU_M_R,Built-up,0,0,38,0,0,0,21,0,239,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Grassland,0,191,147,93,83,126,14,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Non_Wetland,1,0,5,3,0,3,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Wetland,23,33,0,172,4,37,51,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Forest,310,412,667,427,287,0,392,163,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Water,27,178,461,514,131,290,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Shrubland,6,6,16,18,5,14,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Built-up,84,64,124,275,0,75,39,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Cropland,280,0,157,289,201,216,16,103,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHU_M_R,Bareland,30,17,4,0,47,35,12,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Grassland,0,504,34,73,130,264,23,462,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Wetland,1,122,0,24,37,73,8,152,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Bareland,0,407,56,0,377,63,31,164,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Built-up,14,385,38,51,0,167,21,266,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Forest,132,943,272,332,351,0,165,824,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Cropland,28,0,25,58,220,251,21,412,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Water,47,724,453,416,246,476,0,491,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Shrubland,0,2,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHU_M_R,Permanent_ice_and_snow,0,3,0,0,0,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Grassland,0,0,0,0,0,0,52,0,0,0,81,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Cropland,0,0,0,0,0,0,85,0,0,0,73,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Bareland,0,0,0,0,0,0,125,0,0,0,79,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Water,0,0,0,0,0,0,0,0,0,0,964,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Built-up,0,0,0,0,0,0,79,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Wetland,0,0,0,0,0,0,73,0,0,0,122,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHU_M_R,Forest,0,0,0,0,0,0,409,0,0,0,463,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Grassland,0,552,68,9,256,192,98,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Built-up,0,144,1,38,0,65,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Forest,0,820,82,36,772,0,708,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Shrubland,0,47,10,0,13,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Wetland,0,130,0,12,65,86,142,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Bareland,0,196,51,0,174,60,90,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Water,0,509,123,62,502,265,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Cropland,0,0,10,16,254,136,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHU_M_R,Permanent_ice_and_snow,0,3,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Built-up,149,195,1,121,0,384,125,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Forest,194,155,10,90,0,0,154,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Cropland,266,0,28,107,0,293,81,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Wetland,66,25,0,9,0,318,121,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Water,74,32,70,55,0,869,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Shrubland,7,12,3,5,0,42,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Bareland,14,31,13,0,0,110,81,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHU_M_R,Grassland,0,77,25,23,0,165,30,0,0,0,0,2
