Dataset,MajorityClass,Forest,Water,Wetland,Built-up,Grassland,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Grassland,71,5,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Non_Wetland,6,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Wetland,579,278,0,1,750,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Water,530,0,368,0,735,0,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Shrubland,5,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Cropland,12,0,0,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Bareland,21,3,0,0,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Built-up,95,21,0,0,86,0,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKC_M_R,Forest,0,82,37,2,326,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Non_Wetland,1,3,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Grassland,21,148,262,3,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Non_Water,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Wetland,8,638,0,2,12,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Water,40,0,803,10,17,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Shrubland,1,3,5,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Forest,0,447,668,19,79,0,86,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Cropland,1,15,9,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Bareland,0,25,12,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKC_M_R,Built-up,5,40,62,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Grassland,0,16,17,0,0,0,0,385,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Wetland,0,99,0,0,0,0,0,1184,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Forest,0,70,128,0,0,0,0,971,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Water,0,0,329,0,0,0,0,988,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Shrubland,0,0,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Cropland,0,0,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKC_M_R,Bareland,0,0,5,0,0,0,0,21,0,0,0
