Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Cropland,Built-up,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Shrubland,3,3,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Grassland,0,14,6,10,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Cropland,48,41,11,28,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Wetland,25,28,26,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Lichens_and_Mosses,2,2,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Bareland,70,0,56,49,6,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Built-up,8,9,3,7,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Water,91,102,0,66,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGC_M_R,Forest,93,84,54,0,33,13,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Shrubland,0,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Grassland,0,0,6,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Wetland,0,0,22,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Bareland,0,0,89,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Built-up,0,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Water,0,0,0,0,0,0,0,121,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Forest,0,0,91,0,0,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGC_M_R,Cropland,0,0,16,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Water,36,43,0,50,26,21,43,0,77,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Cropland,13,9,0,16,0,9,1,0,28,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Bareland,34,0,3,36,28,28,26,0,56,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Built-up,4,1,0,4,5,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Forest,48,34,7,0,50,38,23,0,66,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Grassland,0,7,0,11,10,3,2,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGC_M_R,Wetland,0,1,0,2,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Forest,0,23,68,0,18,23,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Water,0,52,0,36,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Grassland,0,4,12,28,3,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Wetland,0,27,14,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Cropland,0,10,19,22,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGC_M_R,Bareland,0,0,58,45,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Bareland,0,0,3,0,0,0,26,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Water,0,0,0,0,0,0,43,0,0,0,6
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Grassland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,16
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGC_M_R,Forest,0,0,7,0,0,0,23,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Cropland,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Wetland,3,11,8,17,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Bareland,3,0,18,23,18,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Water,2,49,0,67,27,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Forest,17,18,18,0,19,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Grassland,0,7,3,8,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGC_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
