Dataset,MajorityClass,Wetland,Bareland,Forest,Grassland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Water,339,983,88,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Shrubland,2,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Bareland,118,0,5,5,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Grassland,11,30,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Wetland,0,153,3,1,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Built-up,19,33,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MER_M_R,Forest,459,606,0,48,223,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Wetland,0,7,147,87,106,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Bareland,0,0,329,347,338,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Shrubland,0,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Grassland,0,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Water,7,122,469,300,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Built-up,0,1,12,20,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MER_M_R,Forest,1,35,0,230,257,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Wetland,0,0,0,0,3,0,76,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Bareland,150,0,0,0,81,0,300,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Grassland,3,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Water,279,0,0,0,0,0,326,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Built-up,0,0,0,0,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MER_M_R,Forest,197,0,0,0,95,0,581,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Bareland,0,0,0,0,471,0,0,104,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Shrubland,0,0,0,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Grassland,0,0,0,0,9,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Wetland,0,0,0,0,88,0,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Water,0,0,0,0,0,0,0,253,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Forest,0,0,0,0,322,0,0,175,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MER_M_R,Built-up,0,0,0,0,6,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Water,55,698,88,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Shrubland,0,3,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Grassland,6,31,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MER_M_R,Wetland,0,152,11,6,81,0,0,0,0,0,0,0
