Dataset,MajorityClass,Forest,Water,Bareland,Built-up,Grassland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Grassland,55,6,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Wetland,191,106,16,1,211,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Bareland,15,6,0,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Shrubland,5,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Water,278,0,5,0,226,93,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Built-up,57,7,13,0,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Forest,0,60,11,20,228,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NFA_M_R,Cropland,2,0,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Grassland,0,2,0,0,0,4,155,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Wetland,0,25,0,0,0,0,90,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Forest,0,50,0,0,0,135,547,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Shrubland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Bareland,0,4,0,0,0,5,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Water,0,0,0,0,0,248,255,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Built-up,0,1,0,0,0,2,96,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFA_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Grassland,34,33,32,1,0,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Bareland,7,27,0,0,3,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Forest,0,238,77,17,137,358,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Shrubland,2,3,0,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Water,52,0,16,2,26,293,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Wetland,24,197,16,3,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Built-up,6,22,30,0,12,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFA_M_R,Cropland,3,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Water,26,0,53,0,120,381,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Shrubland,0,1,5,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Forest,0,99,150,0,185,337,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Grassland,11,10,34,0,0,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Wetland,8,105,25,0,90,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Built-up,3,5,14,0,22,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Bareland,0,2,0,0,3,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFA_M_R,Cropland,0,0,1,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Wetland,0,183,0,0,0,0,0,109,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Grassland,0,23,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Water,0,0,0,0,0,0,0,186,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Bareland,0,8,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Forest,0,92,0,0,0,0,0,58,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFA_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Grassland,34,2,2,1,0,4,0,0,35,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Forest,0,50,46,49,211,135,0,0,130,28,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Wetland,30,25,6,2,24,0,0,0,19,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Water,136,0,61,30,124,248,0,0,78,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Bareland,5,4,0,4,6,5,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Built-up,13,1,9,0,26,2,0,0,38,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFA_M_R,Cropland,0,0,0,0,2,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Water,38,0,46,66,0,97,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Grassland,33,25,5,97,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Wetland,97,106,11,79,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Bareland,9,1,0,27,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Forest,0,192,16,181,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFA_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Forest,0,7,8,0,11,5,0,0,0,41,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Wetland,308,56,15,0,19,0,0,0,0,5,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Water,364,0,69,0,11,24,0,0,0,3,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Grassland,87,5,0,0,0,6,0,0,0,29,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFA_M_R,Built-up,6,0,0,0,0,0,0,0,0,0,0,0
