Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Grassland,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Grassland,24,18,5,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Bareland,4,0,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Water,141,156,1,43,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Shrubland,7,8,2,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Wetland,51,0,0,6,11,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Forest,0,239,20,151,55,147,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Built-up,0,2,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZA_M_R,Cropland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Forest,0,108,0,205,138,219,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Water,51,39,0,51,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Wetland,13,0,0,28,19,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Shrubland,0,2,0,7,3,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Grassland,0,7,0,24,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Bareland,1,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Built-up,5,0,0,3,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZA_M_R,Cropland,0,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Bareland,24,0,0,0,52,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Water,314,13,0,92,80,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Shrubland,7,5,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Grassland,4,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZA_M_R,Wetland,144,0,0,21,59,35,0,0,0,0,0,0
