Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Grassland,194,42,14,43,54,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Non_Wetland,3,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Bareland,38,7,0,0,36,118,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Shrubland,19,0,0,1,4,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Cropland,99,0,0,28,43,167,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Wetland,77,0,0,5,1,72,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Built-up,49,3,0,25,0,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Water,373,4,75,113,5,366,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R,Forest,0,11,18,36,54,349,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Non_Wetland,0,0,4,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Shrubland,7,0,4,9,2,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Grassland,62,0,90,65,24,0,49,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Cropland,43,0,20,63,34,216,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Bareland,14,0,25,0,13,113,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Built-up,9,0,13,45,0,53,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Water,57,0,236,6,9,361,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Forest,0,0,356,107,26,522,160,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,Wetland,4,0,0,3,0,60,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Grassland,21,37,54,202,22,0,39,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Wetland,5,0,0,23,0,86,52,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Non_Wetland,0,0,3,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Forest,0,24,164,309,1,542,176,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Shrubland,1,2,8,12,1,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Built-up,0,6,0,72,0,94,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Bareland,0,6,0,0,4,44,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Cropland,5,0,8,111,28,162,3,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,Water,39,0,119,177,7,277,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Grassland,0,0,35,0,0,0,50,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Wetland,0,0,0,0,0,0,8,0,40,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Forest,0,0,152,0,0,0,88,0,439,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Water,0,0,202,0,0,0,0,0,193,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Shrubland,0,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Cropland,0,0,0,0,0,0,1,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Bareland,0,0,4,0,0,0,4,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,Built-up,0,0,1,0,0,0,3,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Grassland,0,0,0,0,0,0,34,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Bareland,0,0,0,0,0,0,6,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Water,0,0,0,0,0,0,0,0,0,201,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Wetland,0,0,0,0,0,0,20,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Forest,0,0,0,0,0,0,90,0,0,90,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Cropland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,Built-up,0,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Grassland,167,224,35,24,69,0,50,283,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Forest,0,181,152,69,55,48,88,257,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Wetland,10,1,0,3,0,0,8,15,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Built-up,13,55,1,0,0,2,3,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Bareland,19,94,4,0,41,2,4,62,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Water,155,81,202,53,20,17,0,158,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,Cropland,27,0,0,0,18,3,1,61,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Grassland,105,325,0,9,79,0,90,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Forest,0,144,1,2,87,0,225,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Wetland,36,23,0,1,5,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Bareland,20,53,0,0,47,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Built-up,1,21,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Water,67,72,6,4,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Cropland,9,0,0,1,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,Shrubland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Forest,0,47,3,54,0,33,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Bareland,15,1,1,0,0,5,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Water,347,4,33,32,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Cropland,24,0,0,52,0,21,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Wetland,122,1,0,4,0,2,38,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Built-up,28,10,0,27,0,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Grassland,184,64,9,86,0,0,95,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,Shrubland,10,1,0,0,0,0,0,0,0,0,0,0
