Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Non_Wetland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Grassland,78,0,6,8,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Cropland,1,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Wetland,0,20,7,4,57,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Bareland,4,0,0,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Water,369,16,56,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Forest,422,88,0,49,196,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFQ_M_R,Built-up,18,11,5,12,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Non_Wetland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Grassland,1,0,22,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Wetland,0,208,126,0,88,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Cropland,0,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Water,26,242,222,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Bareland,0,2,11,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Forest,0,192,0,0,95,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFQ_M_R,Built-up,0,8,32,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Forest,233,250,0,44,183,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Grassland,25,0,0,2,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Cropland,0,2,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Wetland,0,75,5,17,126,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Bareland,0,2,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Water,145,116,41,30,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFQ_M_R,Built-up,5,39,0,0,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Wetland,0,0,0,0,8,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Forest,170,0,0,0,69,0,476,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Grassland,27,0,0,0,9,0,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Water,245,0,0,0,0,0,159,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Bareland,4,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFQ_M_R,Built-up,3,0,0,0,1,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Grassland,27,0,43,14,9,4,0,6,20,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Water,245,45,91,91,0,11,0,25,16,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Wetland,0,4,10,15,8,1,0,2,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Bareland,4,0,2,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Built-up,3,1,10,1,1,0,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Forest,170,72,0,113,69,39,0,50,55,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFQ_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Grassland,0,0,0,0,31,0,0,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Wetland,0,0,0,0,139,0,0,0,0,0,88,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,187,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Bareland,0,0,0,0,4,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFQ_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0,0
