Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Cropland,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Shrubland,287,83,50,57,151,33,103,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Non_Wetland,10,0,0,0,3,3,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Grassland,0,48,36,36,153,78,80,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Bareland,211,0,33,27,80,28,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Water,699,215,2,0,461,28,418,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Forest,581,138,64,188,0,90,138,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Cropland,285,56,52,14,189,0,32,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Wetland,220,6,0,33,49,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Built-up,85,23,0,0,58,18,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Non_Water,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R,Permanent_ice_and_snow,11,5,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Non_Wetland,6,0,0,8,0,0,12,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Shrubland,109,25,3,56,29,0,49,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Grassland,0,39,3,38,87,0,46,224,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Cropland,318,95,4,23,110,0,17,216,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Wetland,48,20,0,232,23,0,0,229,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Bareland,103,0,2,80,26,0,13,135,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Built-up,78,43,0,10,8,0,0,88,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Water,416,38,0,0,192,0,136,728,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Forest,415,163,18,305,0,0,290,844,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,Permanent_ice_and_snow,0,1,0,3,0,0,4,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Wetland,0,0,0,56,0,0,0,0,600,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Shrubland,0,0,0,0,0,0,0,0,240,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Grassland,0,0,0,31,0,0,15,0,186,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Forest,0,0,0,142,0,0,121,0,606,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Bareland,0,0,0,31,0,0,24,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Water,0,0,0,0,0,0,266,0,441,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Cropland,0,0,0,2,0,0,0,0,55,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Built-up,0,0,0,1,0,0,1,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKG_M_R,Non_Wetland,2,11,0,1,0,0,9,11,0,0,0
