Dataset,MajorityClass,Forest,Bareland,Water,Wetland,Built-up,Grassland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Grassland,125,13,6,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Built-up,66,15,13,0,0,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Water,508,329,0,0,2,250,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Shrubland,2,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Bareland,47,0,63,0,0,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Cropland,15,3,1,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Forest,0,210,269,0,6,374,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LZQ_M_R,Wetland,3,2,3,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Grassland,54,75,18,18,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Built-up,8,47,9,4,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Water,418,107,0,221,14,244,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Forest,0,172,288,293,32,340,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Shrubland,2,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Cropland,6,7,0,3,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Bareland,142,0,78,48,4,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZQ_M_R,Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Forest,0,273,422,0,117,625,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Grassland,14,38,48,0,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Shrubland,0,0,0,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Bareland,0,0,158,0,28,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Cropland,1,1,6,0,6,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Built-up,1,11,10,0,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Water,136,184,0,0,155,287,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZQ_M_R,Wetland,0,1,7,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Grassland,102,9,10,0,23,0,31,39,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Forest,0,144,141,62,110,260,217,72,80,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Water,361,110,0,80,89,179,159,18,52,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Bareland,67,0,30,2,24,56,30,2,27,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Built-up,26,2,8,0,0,43,13,15,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Cropland,9,0,1,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZQ_M_R,Wetland,4,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Forest,0,0,455,0,0,0,0,0,0,308,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZQ_M_R,Grassland,0,0,46,0,0,0,0,0,0,22,0,0
